Node1	Node2	Pvalue	Cor
BacV5_Otu_000003	BacV5_Otu_000002	0	0.557889817476
BacV5_Otu_000004	BacV5_Otu_000002	0	-0.755802555933
BacV5_Otu_000005	BacV5_Otu_000002	0	0.752970132489
BacV5_Otu_000007	BacV5_Otu_000002	0	0.843618435532
BacV5_Otu_000008	BacV5_Otu_000002	0	-0.634806213729
BacV5_Otu_000010	BacV5_Otu_000002	0	0.741245690826
BacV5_Otu_000011	BacV5_Otu_000002	0	-0.806002790171
BacV5_Otu_000012	BacV5_Otu_000002	0	-0.656605059313
BacV5_Otu_000014	BacV5_Otu_000002	0	0.774102909748
BacV5_Otu_000015	BacV5_Otu_000002	0	0.572307041781
BacV5_Otu_000016	BacV5_Otu_000002	0	0.567321398946
BacV5_Otu_000025	BacV5_Otu_000002	0	0.765899384565
BacV5_Otu_000028	BacV5_Otu_000002	0	0.578616426973
BacV5_Otu_000031	BacV5_Otu_000002	0	0.578314510502
BacV5_Otu_000036	BacV5_Otu_000002	0	0.809354408714
BacV5_Otu_000037	BacV5_Otu_000002	0	0.80775623154
BacV5_Otu_000040	BacV5_Otu_000002	0.001	-0.461329291105
BacV5_Otu_000042	BacV5_Otu_000002	0	0.796916848674
BacV5_Otu_000046	BacV5_Otu_000002	0	-0.766896899553
BacV5_Otu_000053	BacV5_Otu_000002	0	0.567808941885
BacV5_Otu_000058	BacV5_Otu_000002	0	0.52892584793
BacV5_Otu_000060	BacV5_Otu_000002	0	0.653290799942
BacV5_Otu_000066	BacV5_Otu_000002	0	0.535346965608
BacV5_Otu_000067	BacV5_Otu_000002	0	0.487452713969
BacV5_Otu_000069	BacV5_Otu_000002	0	-0.537405258831
BacV5_Otu_000072	BacV5_Otu_000002	0	-0.607307379266
BacV5_Otu_000074	BacV5_Otu_000002	0	-0.452801737319
BacV5_Otu_000075	BacV5_Otu_000002	0	0.66849957803
BacV5_Otu_000077	BacV5_Otu_000002	0	0.490249901335
BacV5_Otu_000081	BacV5_Otu_000002	0.001	0.524963246034
BacV5_Otu_000085	BacV5_Otu_000002	0	0.577496308858
BacV5_Otu_000086	BacV5_Otu_000002	0	0.796880634422
BacV5_Otu_000088	BacV5_Otu_000002	0	-0.534362577882
BacV5_Otu_000094	BacV5_Otu_000002	0	-0.595423607979
BacV5_Otu_000107	BacV5_Otu_000002	0.001	0.475884570313
BacV5_Otu_000112	BacV5_Otu_000002	0	-0.540547398821
BacV5_Otu_000114	BacV5_Otu_000002	0	0.573957071227
BacV5_Otu_000116	BacV5_Otu_000002	0	-0.533473618897
BacV5_Otu_000118	BacV5_Otu_000002	0	-0.51706674688
BacV5_Otu_000125	BacV5_Otu_000002	0	-0.525576806903
BacV5_Otu_000126	BacV5_Otu_000002	0	-0.525032357709
BacV5_Otu_000127	BacV5_Otu_000002	0	0.647390764155
BacV5_Otu_000137	BacV5_Otu_000002	0	-0.519423287958
BacV5_Otu_000139	BacV5_Otu_000002	0	-0.523445612319
BacV5_Otu_000146	BacV5_Otu_000002	0	0.528598314442
BacV5_Otu_000154	BacV5_Otu_000002	0.001	-0.475082907147
BacV5_Otu_000159	BacV5_Otu_000002	0	0.526513661372
BacV5_Otu_000173	BacV5_Otu_000002	0	0.545511038327
BacV5_Otu_000181	BacV5_Otu_000002	0	0.687420377268
BacV5_Otu_000182	BacV5_Otu_000002	0	-0.544957007709
BacV5_Otu_000185	BacV5_Otu_000002	0	-0.577678929679
BacV5_Otu_000186	BacV5_Otu_000002	0	-0.514041777653
BacV5_Otu_000196	BacV5_Otu_000002	0	0.603351261147
BacV5_Otu_000202	BacV5_Otu_000002	0.001	0.448236092515
BacV5_Otu_000212	BacV5_Otu_000002	0	0.578580936245
BacV5_Otu_000221	BacV5_Otu_000002	0	-0.547843023042
BacV5_Otu_000225	BacV5_Otu_000002	0	0.817852607067
BacV5_Otu_000229	BacV5_Otu_000002	0	-0.527897867604
BacV5_Otu_000276	BacV5_Otu_000002	0.001	-0.401832305964
BacV5_Otu_000283	BacV5_Otu_000002	0	-0.488401492933
BacV5_Otu_000290	BacV5_Otu_000002	0	0.459534110706
BacV5_Otu_000347	BacV5_Otu_000002	0	0.647653200165
BacV5_Otu_000348	BacV5_Otu_000002	0	0.672873287425
BacV5_Otu_000368	BacV5_Otu_000002	0	0.742766798699
BacV5_Otu_000378	BacV5_Otu_000002	0	-0.460794205951
BacV5_Otu_000408	BacV5_Otu_000002	0	0.701437185226
BacV5_Otu_000455	BacV5_Otu_000002	0	-0.57364610801
BacV5_Otu_000554	BacV5_Otu_000002	0	0.505509193701
BacV5_Otu_000560	BacV5_Otu_000002	0	-0.476681926787
BacV5_Otu_000609	BacV5_Otu_000002	0	0.569594468402
BacV5_Otu_000636	BacV5_Otu_000002	0	0.573518761251
BacV5_Otu_000714	BacV5_Otu_000002	0	0.705716356431
BacV5_Otu_000787	BacV5_Otu_000002	0	0.515328166436
Ftrad_Otu_00001	BacV5_Otu_000002	0	-0.559621272215
Ftrad_Otu_00002	BacV5_Otu_000002	0	-0.580470078645
Ftrad_Otu_00007	BacV5_Otu_000002	0	0.566787670699
Ftrad_Otu_00019	BacV5_Otu_000002	0	0.527077638957
Ftrad_Otu_00039	BacV5_Otu_000002	0.001	-0.541478308143
Ftrad_Otu_00041	BacV5_Otu_000002	0	0.67378935813
Ftrad_Otu_00043	BacV5_Otu_000002	0	-0.542510483818
Ftrad_Otu_00078	BacV5_Otu_000002	0	0.656902886733
Ftrad_Otu_00090	BacV5_Otu_000002	0	0.572207757834
Ftrad_Otu_00142	BacV5_Otu_000002	0	0.78548253628
Ftrad_Otu_00149	BacV5_Otu_000002	0	0.595486036743
Ftrad_Otu_00151	BacV5_Otu_000002	0	0.572041543619
Ftrad_Otu_00210	BacV5_Otu_000002	0	0.548149473656
Ftrad_Otu_00235	BacV5_Otu_000002	0	0.497862106346
Ftrad_Otu_00258	BacV5_Otu_000002	0	0.637256015917
Ftrad_Otu_00448	BacV5_Otu_000002	0	0.557544105498
Otrad_Otu_00004	BacV5_Otu_000002	0.001	-0.498913087424
BacV5_Otu_000005	BacV5_Otu_000003	0	0.705291848238
BacV5_Otu_000006	BacV5_Otu_000003	0	-0.728654498943
BacV5_Otu_000007	BacV5_Otu_000003	0	0.708307406594
BacV5_Otu_000009	BacV5_Otu_000003	0	-0.702702218766
BacV5_Otu_000010	BacV5_Otu_000003	0	0.675335528714
BacV5_Otu_000011	BacV5_Otu_000003	0	-0.585006980686
BacV5_Otu_000012	BacV5_Otu_000003	0	-0.677243573283
BacV5_Otu_000014	BacV5_Otu_000003	0	0.51006090122
BacV5_Otu_000015	BacV5_Otu_000003	0	0.766126848925
BacV5_Otu_000016	BacV5_Otu_000003	0	0.71556302641
BacV5_Otu_000025	BacV5_Otu_000003	0	0.694381616566
BacV5_Otu_000028	BacV5_Otu_000003	0	0.71255071182
BacV5_Otu_000031	BacV5_Otu_000003	0	0.58121222476
BacV5_Otu_000036	BacV5_Otu_000003	0	0.635606914615
BacV5_Otu_000037	BacV5_Otu_000003	0	0.642213095371
BacV5_Otu_000039	BacV5_Otu_000003	0	0.521112173739
BacV5_Otu_000042	BacV5_Otu_000003	0	0.52812785033
BacV5_Otu_000050	BacV5_Otu_000003	0	0.614246550486
BacV5_Otu_000053	BacV5_Otu_000003	0	0.663591446501
BacV5_Otu_000060	BacV5_Otu_000003	0	0.56185331485
BacV5_Otu_000064	BacV5_Otu_000003	0	0.738977755082
BacV5_Otu_000066	BacV5_Otu_000003	0	0.513130072352
BacV5_Otu_000067	BacV5_Otu_000003	0	0.5594251149
BacV5_Otu_000071	BacV5_Otu_000003	0	0.534183927648
BacV5_Otu_000072	BacV5_Otu_000003	0	-0.59575254519
BacV5_Otu_000073	BacV5_Otu_000003	0	0.540168337082
BacV5_Otu_000075	BacV5_Otu_000003	0	0.545923763891
BacV5_Otu_000085	BacV5_Otu_000003	0	0.552180120224
