Node1	Node2	Pvalue	Cor
BacV5_Otu_000153	BacV5_Otu_000003	0	0.604399277252
BacV5_Otu_000154	BacV5_Otu_000003	0	0.468734434153
BacV5_Otu_000157	BacV5_Otu_000003	0	0.775894592475
BacV5_Otu_000159	BacV5_Otu_000003	0	0.631712083288
BacV5_Otu_000163	BacV5_Otu_000003	0	0.515270086115
BacV5_Otu_000171	BacV5_Otu_000003	0	0.625643986154
BacV5_Otu_000172	BacV5_Otu_000003	0	0.540446912771
BacV5_Otu_000175	BacV5_Otu_000003	0	0.466981058617
BacV5_Otu_000179	BacV5_Otu_000003	0	0.730902819208
BacV5_Otu_000180	BacV5_Otu_000003	0	0.541830401641
BacV5_Otu_000191	BacV5_Otu_000003	0	0.714076716906
BacV5_Otu_000194	BacV5_Otu_000003	0	0.650480169044
BacV5_Otu_000195	BacV5_Otu_000003	0	0.498357602679
BacV5_Otu_000196	BacV5_Otu_000003	0	0.669126340634
BacV5_Otu_000199	BacV5_Otu_000003	0	0.615697898667
BacV5_Otu_000200	BacV5_Otu_000003	0	0.626766465756
BacV5_Otu_000206	BacV5_Otu_000003	0	0.634301387182
BacV5_Otu_000212	BacV5_Otu_000003	0	0.537139946108
BacV5_Otu_000213	BacV5_Otu_000003	0	0.604564790697
BacV5_Otu_000225	BacV5_Otu_000003	0	0.548867446454
BacV5_Otu_000235	BacV5_Otu_000003	0	0.426528682972
BacV5_Otu_000247	BacV5_Otu_000003	0	0.646317152706
BacV5_Otu_000251	BacV5_Otu_000003	0	0.493212743871
BacV5_Otu_000253	BacV5_Otu_000003	0	0.50426011076
BacV5_Otu_000254	BacV5_Otu_000003	0	0.568468924864
BacV5_Otu_000262	BacV5_Otu_000003	0	0.568276621947
BacV5_Otu_000278	BacV5_Otu_000003	0	0.675414138789
BacV5_Otu_000285	BacV5_Otu_000003	0	0.685278301426
BacV5_Otu_000289	BacV5_Otu_000003	0	0.566668742822
BacV5_Otu_000290	BacV5_Otu_000003	0	0.702102031298
BacV5_Otu_000291	BacV5_Otu_000003	0	0.740211884645
BacV5_Otu_000293	BacV5_Otu_000003	0	0.71946870452
BacV5_Otu_000302	BacV5_Otu_000003	0	0.429315699869
BacV5_Otu_000328	BacV5_Otu_000003	0	0.534228881383
BacV5_Otu_000343	BacV5_Otu_000003	0	0.722009568005
BacV5_Otu_000347	BacV5_Otu_000003	0	0.569853559035
BacV5_Otu_000408	BacV5_Otu_000003	0	0.531880416258
BacV5_Otu_000689	BacV5_Otu_000003	0	0.65271131712
BacV5_Otu_000782	BacV5_Otu_000003	0	0.629425157835
Ftrad_Otu_00002	BacV5_Otu_000003	0	-0.679088502901
Ftrad_Otu_00003	BacV5_Otu_000003	0	-0.646469913825
Ftrad_Otu_00004	BacV5_Otu_000003	0	-0.718809523846
Ftrad_Otu_00005	BacV5_Otu_000003	0	-0.701262160021
Ftrad_Otu_00012	BacV5_Otu_000003	0	-0.753984954195
Ftrad_Otu_00013	BacV5_Otu_000003	0	-0.725315183942
Ftrad_Otu_00014	BacV5_Otu_000003	0	-0.55604020928
Ftrad_Otu_00016	BacV5_Otu_000003	0.001	-0.439513159895
Ftrad_Otu_00018	BacV5_Otu_000003	0	-0.653193824477
Ftrad_Otu_00021	BacV5_Otu_000003	0	-0.550624481949
Ftrad_Otu_00022	BacV5_Otu_000003	0.001	-0.479578886665
Ftrad_Otu_00023	BacV5_Otu_000003	0	-0.582599801097
Ftrad_Otu_00024	BacV5_Otu_000003	0	-0.495478833314
Ftrad_Otu_00029	BacV5_Otu_000003	0	-0.778474197034
Ftrad_Otu_00030	BacV5_Otu_000003	0	-0.635911058159
Ftrad_Otu_00032	BacV5_Otu_000003	0.001	-0.501522812366
Ftrad_Otu_00034	BacV5_Otu_000003	0	-0.547671699854
Ftrad_Otu_00036	BacV5_Otu_000003	0	-0.553005294203
