SUID,AverageShortestPathLength,BetweennessCentrality,Class,ClosenessCentrality,ClusteringCoefficient,Core,Degree,Eccentricity,Family,Genus,IsSingleNode,Kingdom,Locus,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Ocurrence.y1,Ocurrence.y2,Ocurrence.y3,Order,PartnerOfMultiEdgedNodePairs,Phylum,Radiality,Relative.abundance.y1,Relative.abundance.y2,Relative.abundance.y3,selected,SelfLoops,shared name,size,Species,Stress,Taxonomy,TopologicalCoefficient,TotalOcurrence,TotalRelativeabundance
27743,2.08502024,0.00318346,c__Microbotryomycetes,0.47961165,0.4997669,no,66,4,f__Sporidiobolaceae,g__Rhodotorula,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00069,80.51515152,66,0,0.609375,0.142857143,0.138888889,o__Sporidiobolales,0,p__Basidiomycota,0.81916329,0.001655456,9.68E-06,2.95E-04,FALSE,0,Ftrad_Otu_00069,4689,s__Rhodotorula_graminis,28816,"""k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Sporidiobolales(100);f__Sporidiobolaceae(100);g__Rhodotorula(100);s__Rhodotorula_graminis(100);""",0.20539579,0.286407767,6.21E-04
18766,2.7388664,5.63E-04,c__Alphaproteobacteria,0.36511456,0.66666667,no,7,5,f__Methylobacteriaceae,g__Magnetospirillum,FALSE,k__Bacteria,BacV5,BacV5_Otu_000284,65.42857143,7,0,0.359375,0.471428571,0.125,o__Rhizobiales,0,p__Proteobacteria,0.71018893,1.42E-04,8.02E-04,6.93E-05,FALSE,0,BacV5_Otu_000284,816,s__magnetotacticum,2742,"""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Methylobacteriaceae(100);g__Magnetospirillum(92);s__magnetotacticum(92);""",0.38403361,0.315533981,3.41E-04
12720,3.66801619,0,c__Alphaproteobacteria,0.27262693,0,no,1,6,f__Rhizobiaceae,g__Agrobacterium,FALSE,k__Bacteria,BacV5,BacV5_Otu_000133,10,1,0,0.796875,0.614285714,0.583333333,o__Rhizobiales,0,p__Proteobacteria,0.55533063,0.001599282,0.001024388,5.06E-04,FALSE,0,BacV5_Otu_000133,2399,g__Agrobacterium_unclassified,0,"""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Rhizobiaceae(100);g__Agrobacterium(66);g__Agrobacterium_unclassified(66);""",0,0.660194175,0.001021795
78,2.19635628,0.00228296,c__Mortierellomycetes,0.45529954,0.53065539,no,44,4,f__Mortierellaceae,g__Mortierella,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00044,81.90909091,44,0,0.5625,0.471428571,0.416666667,o__Mortierellales,0,p__Mortierellomycota,0.80060729,5.09E-04,3.48E-04,0.004867239,FALSE,0,Ftrad_Otu_00044,10884,s__Mortierella_sarnyensis,17234,"""k__Fungi(100);p__Mortierellomycota(100);c__Mortierellomycetes(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_sarnyensis(99);""",0.22752525,0.480582524,0.001977598
109,2.3805668,0.00197617,c__Betaproteobacteria,0.42006803,0.38324421,no,34,4,o__SC-I-84_unclassified,o__SC-I-84_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000131,53.5,34,0,0.921875,0.857142857,0.972222222,o__SC-I-84,0,p__Proteobacteria,0.76990553,9.91E-04,7.00E-04,9.52E-04,FALSE,0,BacV5_Otu_000131,2433,o__SC-I-84_unclassified,12532,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__SC-I-84(100);o__SC-I-84_unclassified(100);o__SC-I-84_unclassified(100);o__SC-I-84_unclassified(100);""",0.1838488,0.917475728,8.78E-04
27744,2.00809717,0.00192119,c__Actinobacteria,0.49798387,0.57920792,no,101,4,f__Streptosporangiaceae,f__Streptosporangiaceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000677,107.980198,101,0,0.21875,0.314285714,0.569444444,o__Actinomycetales,0,p__Actinobacteria,0.83198381,5.49E-05,5.58E-05,1.55E-04,FALSE,0,BacV5_Otu_000677,270,f__Streptosporangiaceae_unclassified,26802,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Streptosporangiaceae(100);f__Streptosporangiaceae_unclassified(93);f__Streptosporangiaceae_unclassified(93);""",0.27336759,0.373786408,9.04E-05
27745,2.00809717,0.00173797,c__Betaproteobacteria,0.49798387,0.62435567,no,97,4,f__Oxalobacteraceae,f__Oxalobacteraceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000462,106.4329897,97,0,0.28125,0.528571429,0.777777778,o__Burkholderiales,0,p__Proteobacteria,0.83198381,4.93E-05,1.34E-04,2.48E-04,FALSE,0,BacV5_Otu_000462,461,f__Oxalobacteraceae_unclassified,22826,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);f__Oxalobacteraceae_unclassified(100);f__Oxalobacteraceae_unclassified(100);""",0.26674935,0.538834951,1.48E-04
148,2.47368421,0.00124283,c__Tremellomycetes,0.40425532,0.43722944,no,22,4,f__Bulleraceae,g__Bullera,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00017,37.36363636,22,0,0.8125,0.871428571,0.944444444,o__Tremellales,0,p__Basidiomycota,0.75438596,0.003570007,0.015842549,0.013421607,FALSE,0,Ftrad_Otu_00017,58553,s__Bullera_crocea,6692,"""k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Bullera(100);s__Bullera_crocea(100);""",0.14710093,0.878640777,0.011183566
27746,2.15587045,0.00463079,c__Alphaproteobacteria,0.46384977,0.66010929,no,61,4,f__Caulobacteraceae,g__Phenylobacterium,FALSE,k__Bacteria,BacV5,BacV5_Otu_000444,114.6721312,61,0,0.515625,0.371428571,0.694444444,o__Caulobacterales,0,p__Proteobacteria,0.80735493,1.57E-04,6.99E-05,2.48E-04,FALSE,0,BacV5_Otu_000444,481,g__Phenylobacterium_unclassified,36952,"""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Caulobacterales(100);f__Caulobacteraceae(100);g__Phenylobacterium(99);g__Phenylobacterium_unclassified(99);""",0.31498829,0.529126214,1.59E-04
27747,1.97975709,0.00413247,c__Alphaproteobacteria,0.50511247,0.52829901,no,115,4,f__Sphingomonadaceae,g__Kaistobacter,FALSE,k__Bacteria,BacV5,BacV5_Otu_000431,98.36521739,115,0,0.515625,0.514285714,0.75,o__Sphingomonadales,0,p__Proteobacteria,0.83670715,1.48E-04,1.18E-04,2.26E-04,FALSE,0,BacV5_Otu_000431,498,g__Kaistobacter_unclassified,44322,"""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Sphingomonadales(100);f__Sphingomonadaceae(100);g__Kaistobacter(100);g__Kaistobacter_unclassified(100);""",0.24777133,0.597087379,1.65E-04
