SUID,AverageShortestPathLength,BetweennessCentrality,Class,ClosenessCentrality,ClusteringCoefficient,Core,Degree,Eccentricity,Family,Genus,IsSingleNode,Kingdom,Locus,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Ocurrence.y1,Ocurrence.y2,Ocurrence.y3,Order,PartnerOfMultiEdgedNodePairs,Phylum,Radiality,Relative.abundance.y1,Relative.abundance.y2,Relative.abundance.y3,selected,SelfLoops,shared name,size,Species,Stress,Taxonomy,TopologicalCoefficient,TotalOcurrence,TotalRelativeabundance
72,3.05750799,1.51E-04,c__Oomycetes(99),0.32706374,0,no,2,5,f__Pythiaceae(99),g__Pythium(99),FALSE,k__Stramenopila(99),Otrad,Otrad_Otu_00030,21,2,0,0.484375,0.342857143,0.25,o__Pythiales(99),0,p__Oomycota(99),0.5884984,0.009950183,0.001154221,0.004212582,FALSE,0,Otrad_Otu_00030,6734,s__Pythium_sp(99),376,"""k__Stramenopila(99);p__Oomycota(99);c__Oomycetes(99);o__Pythiales(99);f__Pythiaceae(99);g__Pythium(99);s__Pythium_sp(99);""",0.5,0.354368932,0.004955889
73,2.86261981,0,c__Sordariomycetes,0.34933036,0,no,1,5,f__Plectosphaerellaceae,g__Plectosphaerella,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00262,79,1,0,0.5625,0.4,0.319444444,o__Glomerellales,0,p__Ascomycota,0.62747604,3.29E-04,2.40E-04,1.04E-04,FALSE,0,Ftrad_Otu_00262,623,s__Plectosphaerella_pauciseptata,0,"""k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Glomerellales(100);f__Plectosphaerellaceae(100);g__Plectosphaerella(100);s__Plectosphaerella_pauciseptata(52);""",0,0.422330097,2.20E-04
74,3.30990415,2.94E-05,c__Oomycetes(100),0.30212355,0,no,2,5,f__Pythiaceae(100),g__Pythium(100),FALSE,k__Stramenopila(100),Otrad,Otrad_Otu_00008,7.5,2,0,0.3125,0.514285714,0.277777778,o__Pythiales(100),0,p__Oomycota(100),0.53801917,0.017573624,0.025519752,0.016401825,FALSE,0,Otrad_Otu_00008,31975,s__Pythium_sp(100),38,"""k__Stramenopila(100);p__Oomycota(100);c__Oomycetes(100);o__Pythiales(100);f__Pythiaceae(100);g__Pythium(100);s__Pythium_sp(100);""",0.5,0.368932039,0.019864204
75,2.79872204,0,c__Agaricomycetes,0.35730594,1,no,2,5,f__Strophariaceae,g__Hypholoma,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00090,67.5,2,0,0.578125,0.557142857,0.597222222,o__Agaricales,0,p__Basidiomycota,0.64025559,0.010365389,0.00106902,7.28E-04,FALSE,0,Ftrad_Otu_00090,3435,s__Hypholoma_fasciculare,0,"""k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Strophariaceae(100);g__Hypholoma(100);s__Hypholoma_fasciculare(99);""",0.73369565,0.577669903,0.003838141
76,2.95207668,0,c__Microbotryomycetes,0.33874459,1,no,2,5,f__unclassified_Leucosporidiales,g__unclassified_Leucosporidiales,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00070,40.5,2,0,0.390625,0.585714286,0.236111111,o__Leucosporidiales,0,p__Basidiomycota,0.60958466,0.001373487,0.001041796,2.60E-04,FALSE,0,Ftrad_Otu_00070,4670,s__Leucosporidiales_sp,0,"""k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Leucosporidiales(100);f__unclassified_Leucosporidiales(98);g__unclassified_Leucosporidiales(98);s__Leucosporidiales_sp(98);""",0.675,0.402912621,8.72E-04
77,2.93290735,0,k__Fungi_unclassified,0.34095861,0,no,1,5,k__Fungi_unclassified,k__Fungi_unclassified,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00133,65,1,0,0.609375,0.285714286,0.291666667,k__Fungi_unclassified,0,k__Fungi_unclassified,0.61341853,5.09E-04,2.32E-04,1.60E-04,FALSE,0,Ftrad_Otu_00133,1858,k__Fungi_unclassified,0,"""k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);""",0,0.388349515,2.93E-04
78,2.82428115,2.47E-06,c__Mortierellomycetes,0.3540724,0.66666667,no,3,5,f__Mortierellaceae,g__Mortierella,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00044,44.33333333,3,0,0.5625,0.471428571,0.416666667,o__Mortierellales,0,p__Mortierellomycota,0.63514377,5.09E-04,3.48E-04,0.004867239,FALSE,0,Ftrad_Otu_00044,10884,s__Mortierella_sarnyensis,6,"""k__Fungi(100);p__Mortierellomycota(100);c__Mortierellomycetes(100);o__Mortierellales(100);f__Mortierellaceae(100);g__Mortierella(100);s__Mortierella_sarnyensis(99);""",0.51550388,0.480582524,0.001977598
79,2.45367412,1.29E-05,c__Eurotiomycetes,0.40755208,0.75,no,8,5,f__Herpotrichiellaceae,g__Exophiala,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00534,67.375,8,0,0.078125,0.014285714,0.25,o__Chaetothyriales,0,p__Ascomycota,0.70926518,8.17E-05,4.12E-07,9.94E-05,FALSE,0,Ftrad_Otu_00534,171,s__Exophiala_sp,82,"""k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(99);f__Herpotrichiellaceae(97);g__Exophiala(97);s__Exophiala_sp(97);""",0.38945087,0.116504854,6.03E-05
80,2.514377,1.03E-06,c__Dothideomycetes,0.39771283,0.83333333,no,4,4,f__Didymosphaeriaceae,g__Pseudopithomyces,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00087,99.5,4,0,0.25,0.228571429,0.638888889,o__Pleosporales,0,p__Ascomycota,0.6971246,0.001204426,7.82E-04,0.001159163,FALSE,0,Ftrad_Otu_00087,3483,s__Pseudopithomyces_chartarum,6,"""k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymosphaeriaceae(100);g__Pseudopithomyces(100);s__Pseudopithomyces_chartarum(100);""",0.621875,0.378640777,0.001045092
81,2.57827476,0,c__Tremellomycetes,0.38785626,1,no,3,5,f__Bulleribasidiaceae,g__Vishniacozyma,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00050,117,3,0,0.578125,0.314285714,0.583333333,o__Tremellales,0,p__Basidiomycota,0.68434505,0.003662443,2.10E-04,0.001547621,FALSE,0,Ftrad_Otu_00050,8289,s__Vishniacozyma_dimennae,0,"""k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Vishniacozyma(100);s__Vishniacozyma_dimennae(100);""",0.7852349,0.490291262,0.001750163
82,3.95207668,0,c__Actinobacteria,0.25303153,0,no,1,5,f__Kineosporiaceae,g__Kineosporia,FALSE,k__Bacteria,BacV5,BacV5_Otu_000176,3,1,0,0.609375,0.542857143,0.763888889,o__Actinomycetales,0,p__Actinobacteria,0.40958466,7.91E-04,2.94E-04,8.01E-04,FALSE,0,BacV5_Otu_000176,1604,g__Kineosporia_unclassified,0,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Kineosporiaceae(95);g__Kineosporia(83);g__Kineosporia_unclassified(83);""",0,0.640776699,6.26E-04
83,2.48242812,3.40E-07,k__Fungi_unclassified,0.4028314,0.83333333,no,4,4,k__Fungi_unclassified,k__Fungi_unclassified,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00203,118.5,4,0,0.265625,0.228571429,0.319444444,k__Fungi_unclassified,0,k__Fungi_unclassified,0.70351438,1.52E-04,1.08E-04,1.65E-04,FALSE,0,Ftrad_Otu_00203,982,k__Fungi_unclassified,2,"""k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);""",0.69705882,0.27184466,1.42E-04
84,2.60702875,1.11E-04,k__Fungi_unclassified,0.38357843,0.3,no,5,4,k__Fungi_unclassified,k__Fungi_unclassified,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00174,39.6,5,0,0.375,0.385714286,0.375,k__Fungi_unclassified,0,k__Fungi_unclassified,0.67859425,2.79E-04,1.23E-04,2.12E-04,FALSE,0,Ftrad_Otu_00174,1237,k__Fungi_unclassified,134,"""k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);""",0.29402985,0.378640777,2.03E-04
85,2.95527157,0.00638978,c__Oomycetes(100),0.33837838,0.33333333,no,3,4,f__Pythiaceae(100),g__Pythium(100),FALSE,k__Stramenopila(100),Otrad,Otrad_Otu_00033,18.66666667,3,0,0.390625,0.128571429,0.208333333,o__Pythiales(100),0,p__Oomycota(100),0.60894569,0.005142845,0.001049235,0.005991528,FALSE,0,Otrad_Otu_00033,6212,s__Pythium_sp(100),13934,"""k__Stramenopila(100);p__Oomycota(100);c__Oomycetes(100);o__Pythiales(100);f__Pythiaceae(100);g__Pythium(100);s__Pythium_sp(100);""",0.40740741,0.237864078,0.00404844
86,2.99041534,0,c__Deltaproteobacteria,0.33440171,1,no,2,5,f__Cystobacterineae,f__Cystobacterineae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000110,34.5,2,0,0.203125,0.542857143,0.625,o__Myxococcales,0,p__Proteobacteria,0.60191693,5.29E-05,0.001341366,8.65E-04,FALSE,0,BacV5_Otu_000110,3024,f__Cystobacterineae_unclassified,0,"""k__Bacteria(100);p__Proteobacteria(100);c__Deltaproteobacteria(100);o__Myxococcales(100);f__Cystobacterineae(100);f__Cystobacterineae_unclassified(100);f__Cystobacterineae_unclassified(100);""",0.63888889,0.466019417,7.75E-04
87,2.72523962,8.58E-06,c__Actinobacteria,0.36694021,0.33333333,no,4,4,f__Microbacteriaceae,g__Microbacterium,FALSE,k__Bacteria,BacV5,BacV5_Otu_000173,38,4,0,0.859375,0.628571429,0.916666667,o__Actinomycetales,0,p__Actinobacteria,0.65495208,6.97E-04,5.01E-04,5.82E-04,FALSE,0,BacV5_Otu_000173,1659,g__Microbacterium_unclassified,32,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Microbacterium(97);g__Microbacterium_unclassified(76);""",0.38131313,0.800970874,5.90E-04
88,2.8658147,2.83E-06,c__Betaproteobacteria,0.34894091,0,no,2,5,f__Comamonadaceae,g__Methylibium,FALSE,k__Bacteria,BacV5,BacV5_Otu_000130,43.5,2,0,0.828125,0.814285714,0.930555556,o__Burkholderiales,0,p__Proteobacteria,0.62683706,7.64E-04,5.28E-04,0.001142539,FALSE,0,BacV5_Otu_000130,2458,g__Methylibium_unclassified,6,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);g__Methylibium(59);g__Methylibium_unclassified(59);""",0.57432432,0.859223301,8.16E-04
89,2.41533546,3.47E-05,c__Deinococci,0.41402116,0.4,no,6,4,f__Deinococcaceae,g__Deinococcus,FALSE,k__Bacteria,BacV5,BacV5_Otu_000124,55.16666667,6,0,0.8125,0.857142857,0.680555556,o__Deinococcales,0,p__[Thermi],0.71693291,6.12E-04,9.62E-04,8.68E-04,FALSE,0,BacV5_Otu_000124,2549,g__Deinococcus_unclassified,138,"""k__Bacteria(100);p__[Thermi](100);c__Deinococci(100);o__Deinococcales(100);f__Deinococcaceae(100);g__Deinococcus(100);g__Deinococcus_unclassified(100);""",0.2981982,0.781553398,8.20E-04
90,2.79552716,1.72E-04,c__Thermoleophilia,0.35771429,0.42857143,no,7,4,f__Gaiellaceae,f__Gaiellaceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000168,21.71428571,7,0,0.875,0.8,0.944444444,o__Gaiellales,0,p__Actinobacteria,0.64089457,8.02E-04,4.29E-04,7.27E-04,FALSE,0,BacV5_Otu_000168,1736,f__Gaiellaceae_unclassified,238,"""k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Gaiellales(100);f__Gaiellaceae(100);f__Gaiellaceae_unclassified(100);f__Gaiellaceae_unclassified(100);""",0.26631393,0.873786408,6.49E-04
91,2.84984026,1.95E-04,c__Chloroflexi,0.35089686,0.53333333,no,6,4,f__[Kouleothrixaceae],f__[Kouleothrixaceae]_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000097,19.33333333,6,0,0.9375,0.857142857,0.972222222,o__[Roseiflexales],0,p__Chloroflexi,0.63003195,0.002046667,8.70E-04,0.001186828,FALSE,0,BacV5_Otu_000097,3928,f__[Kouleothrixaceae]_unclassified,194,"""k__Bacteria(100);p__Chloroflexi(100);c__Chloroflexi(100);o__[Roseiflexales](100);f__[Kouleothrixaceae](100);f__[Kouleothrixaceae]_unclassified(100);f__[Kouleothrixaceae]_unclassified(100);""",0.27777778,0.922330097,0.001346149
92,2.52076677,8.62E-05,c__Gammaproteobacteria,0.39670469,0.33333333,no,4,4,f__Sinobacteraceae,g__Steroidobacter,FALSE,k__Bacteria,BacV5,BacV5_Otu_000141,57.5,4,0,0.890625,0.814285714,0.958333333,o__Xanthomonadales,0,p__Proteobacteria,0.69584665,9.09E-04,5.50E-04,9.30E-04,FALSE,0,BacV5_Otu_000141,2205,g__Steroidobacter_unclassified,232,"""k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Xanthomonadales(100);f__Sinobacteraceae(100);g__Steroidobacter(83);g__Steroidobacter_unclassified(83);""",0.36464968,0.888349515,7.94E-04
93,3.04153355,0,c__Thermoleophilia,0.32878151,0,no,1,5,o__Solirubrobacterales_unclassified,o__Solirubrobacterales_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000230,38,1,0,0.953125,0.657142857,0.888888889,o__Solirubrobacterales,0,p__Actinobacteria,0.59169329,5.93E-04,2.43E-04,4.48E-04,FALSE,0,BacV5_Otu_000230,1051,o__Solirubrobacterales_unclassified,0,"""k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Solirubrobacterales(100);o__Solirubrobacterales_unclassified(100);o__Solirubrobacterales_unclassified(100);o__Solirubrobacterales_unclassified(100);""",0,0.830097087,4.23E-04
94,2.28434505,2.85E-04,c__Betaproteobacteria,0.43776224,0.50549451,no,14,4,c__Betaproteobacteria_unclassified,c__Betaproteobacteria_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000260,62.71428571,14,0,0.796875,0.771428571,0.763888889,c__Betaproteobacteria_unclassified,0,p__Proteobacteria,0.74313099,4.16E-04,3.08E-04,2.71E-04,FALSE,0,BacV5_Otu_000260,920,c__Betaproteobacteria_unclassified,588,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);c__Betaproteobacteria_unclassified(100);c__Betaproteobacteria_unclassified(100);c__Betaproteobacteria_unclassified(100);c__Betaproteobacteria_unclassified(100);""",0.29305741,0.776699029,3.29E-04
95,2.37380192,1.92E-05,c__Betaproteobacteria,0.42126514,0.71428571,no,7,4,f__Oxalobacteraceae,g__Massilia,FALSE,k__Bacteria,BacV5,BacV5_Otu_000093,73.85714286,7,0,0.71875,0.671428571,0.833333333,o__Burkholderiales,0,p__Proteobacteria,0.72523962,9.65E-04,5.71E-04,0.002573522,FALSE,0,BacV5_Otu_000093,4320,g__Massilia_unclassified,86,"""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Oxalobacteraceae(100);g__Massilia(97);g__Massilia_unclassified(58);""",0.37490935,0.742718447,0.001393288
