SUID,AverageShortestPathLength,BetweennessCentrality,Class,ClosenessCentrality,ClusteringCoefficient,Core,Degree,Eccentricity,Family,Genus,IsSingleNode,Kingdom,Locus,name,NeighborhoodConnectivity,NumberOfDirectedEdges,NumberOfUndirectedEdges,Ocurrence.y1,Ocurrence.y2,Ocurrence.y3,Order,PartnerOfMultiEdgedNodePairs,Phylum,Radiality,Relative.abundance.y1,Relative.abundance.y2,Relative.abundance.y3,selected,SelfLoops,shared name,size,Species,Stress,Taxonomy,TopologicalCoefficient,TotalOcurrence,TotalRelativeabundance
216,2.13191489,0.04303865,c__Microbotryomycetes,0.46906188,0.35435435,no,37,4,f__Chrysozymaceae,g__Sampaiozyma,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00041,34.35135135,37,0,0.921875,0.5,0.166666667,o__Microbotryomycetes_ord_Incertae_sedis,0,p__Basidiomycota,0.83829787,0.010206547,0.001003865,9.85E-05,FALSE,0,Ftrad_Otu_00041,12285,s__Sampaiozyma_sp,26928,"""k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Microbotryomycetes_ord_Incertae_sedis(100);f__Chrysozymaceae(100);g__Sampaiozyma(100);s__Sampaiozyma_sp(100);""",0.19924576,0.514563107,0.003546504
217,2.00851064,0.01594599,k__Fungi_unclassified,0.49788136,0.47457627,no,59,4,k__Fungi_unclassified,k__Fungi_unclassified,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00040,42.59322034,59,0,0.546875,0.585714286,0.569444444,k__Fungi_unclassified,0,k__Fungi_unclassified,0.85592705,0.003775879,0.003816336,5.36E-04,FALSE,0,Ftrad_Otu_00040,12535,k__Fungi_unclassified,16524,"""k__Fungi(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);""",0.23532166,0.567961165,0.002657205
218,2.45957447,0.00402336,c__Microbotryomycetes,0.40657439,0.46969697,no,12,5,f__Leucosporidiaceae,g__Leucosporidium,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00027,35.75,12,0,0.625,0.5,0.180555556,o__Leucosporidiales,0,p__Basidiomycota,0.79148936,0.01340535,0.0017932,1.57E-04,FALSE,0,Ftrad_Otu_00027,29392,s__Leucosporidium_intermedium,2342,"""k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Leucosporidiales(100);f__Leucosporidiaceae(100);g__Leucosporidium(100);s__Leucosporidium_intermedium(100);""",0.26419753,0.427184466,0.004828832
219,2.08085106,0.0166709,c__Microbotryomycetes,0.4805726,0.46868687,no,55,4,f__Ustilentylomataceae,g__Ustilentyloma,FALSE,k__Fungi,Ftrad,Ftrad_Otu_00009,43.27272727,55,0,0.890625,0.928571429,0.902777778,o__Microbotryales,0,p__Basidiomycota,0.84559271,0.033298819,0.035015272,0.015601064,FALSE,0,Ftrad_Otu_00009,134569,s__Ustilentyloma_graminis,15174,"""k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Microbotryales(100);f__Ustilentylomataceae(100);g__Ustilentyloma(100);s__Ustilentyloma_graminis(100);""",0.25305688,0.90776699,0.027696457
101,2.94042553,0.00137981,c__Thermoleophilia,0.34008683,0.57142857,no,7,5,f__Gaiellaceae,f__Gaiellaceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000132,12.57142857,7,0,0.9375,0.871428571,0.958333333,o__Gaiellales,0,p__Actinobacteria,0.72279635,0.001129451,6.81E-04,9.78E-04,FALSE,0,BacV5_Otu_000132,2415,f__Gaiellaceae_unclassified,852,"""k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Gaiellales(100);f__Gaiellaceae(100);f__Gaiellaceae_unclassified(100);f__Gaiellaceae_unclassified(100);""",0.2244898,0.922330097,9.24E-04
221,2.58297872,0.0087962,c__Gammaproteobacteria,0.38714992,0.44444444,no,9,4,f__Xanthomonadaceae,g__Arenimonas,FALSE,k__Bacteria,BacV5,BacV5_Otu_000203,42.22222222,9,0,0.6875,0.742857143,0.861111111,o__Xanthomonadales,0,p__Proteobacteria,0.77386018,5.19E-04,3.99E-04,4.22E-04,FALSE,0,BacV5_Otu_000203,1262,g__Arenimonas_unclassified,4980,"""k__Bacteria(100);p__Proteobacteria(100);c__Gammaproteobacteria(100);o__Xanthomonadales(100);f__Xanthomonadaceae(100);g__Arenimonas(88);g__Arenimonas_unclassified(88);""",0.36618357,0.766990291,4.45E-04
222,2.06808511,0.00703682,c__Actinobacteria,0.48353909,0.54385965,no,57,4,f__Nocardioidaceae,g__Nocardioides,FALSE,k__Bacteria,BacV5,BacV5_Otu_000143,47.43859649,57,0,0.765625,0.771428571,1,o__Actinomycetales,0,p__Actinobacteria,0.84741641,3.07E-04,4.68E-04,0.001276306,FALSE,0,BacV5_Otu_000143,2170,g__Nocardioides_unclassified,8914,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Nocardioidaceae(100);g__Nocardioides(100);g__Nocardioides_unclassified(100);""",0.27741869,0.849514563,7.00E-04
223,2.21276596,0.00383765,c__Actinobacteria,0.45192308,0.65882353,no,35,4,f__Intrasporangiaceae,g__Phycicoccus,FALSE,k__Bacteria,BacV5,BacV5_Otu_000136,49.17142857,35,0,0.828125,0.8,0.986111111,o__Actinomycetales,0,p__Actinobacteria,0.82674772,4.70E-04,3.78E-04,0.001414888,FALSE,0,BacV5_Otu_000136,2315,g__Phycicoccus_unclassified,5712,"""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Intrasporangiaceae(100);g__Phycicoccus(71);g__Phycicoccus_unclassified(71);""",0.31121157,0.873786408,7.69E-04
102,3.30212766,6.66E-05,c__Thermoleophilia,0.30283505,0.9,no,5,6,f__Gaiellaceae,f__Gaiellaceae_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000113,9,5,0,0.9375,0.871428571,0.958333333,o__Gaiellales,0,p__Actinobacteria,0.67112462,0.001148838,7.71E-04,0.001256753,FALSE,0,BacV5_Otu_000113,2914,f__Gaiellaceae_unclassified,42,"""k__Bacteria(100);p__Actinobacteria(100);c__Thermoleophilia(100);o__Gaiellales(100);f__Gaiellaceae(100);f__Gaiellaceae_unclassified(100);f__Gaiellaceae_unclassified(100);""",0.40909091,0.922330097,0.001058275
224,2.20425532,0.00373976,c__Alphaproteobacteria,0.45366795,0.62213225,no,39,4,o__Rhizobiales_unclassified,o__Rhizobiales_unclassified,FALSE,k__Bacteria,BacV5,BacV5_Otu_000115,50.56410256,39,0,0.875,0.785714286,0.986111111,o__Rhizobiales,0,p__Proteobacteria,0.82796353,5.96E-04,5.75E-04,0.001572625,FALSE,0,BacV5_Otu_000115,2779,o__Rhizobiales_unclassified,4036,"""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);o__Rhizobiales_unclassified(86);o__Rhizobiales_unclassified(86);o__Rhizobiales_unclassified(86);""",0.31602564,0.883495146,9.30E-04
