"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"65520","1.98340249","0.01186177","c--Actinobacteria","0.5041841","0.43425076","no","109","4","f--Microbacteriaceae","f--Microbacteriaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000394","72.66972477","109","0","0.265625","0.671428571","0.208333333","o--Actinomycetales","0","p--Actinobacteria","0.85951393","1.22558E-4","4.44008E-4","9.73E-5","false","0","BacV5-Otu-000394","541","f--Microbacteriaceae-unclassified","107742","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Microbacteriaceae(97);f--Microbacteriaceae-unclassified(59);f--Microbacteriaceae-unclassified(59);""","0.18538195","0.383495146","2.22972E-4"
"65521","2.16804979","0.00797752","c--Actinobacteria","0.46124402","0.5043771","no","55","5","f--Streptosporangiaceae","f--Streptosporangiaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000677","77.81818182","55","0","0.21875","0.314285714","0.569444444","o--Actinomycetales","0","p--Actinobacteria","0.83313574","5.49E-5","5.58E-5","1.55499E-4","false","0","BacV5-Otu-000677","270","f--Streptosporangiaceae-unclassified","63314","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Streptosporangiaceae(100);f--Streptosporangiaceae-unclassified(93);f--Streptosporangiaceae-unclassified(93);""","0.21496735","0.373786408","9.04E-5"
"65529","2.37344398","4.6859E-4","c--Alphaproteobacteria","0.42132867","0.64761905","no","36","4","f--Sphingomonadaceae","g--Kaistobacter","false","k--Bacteria","BacV5","BacV5-Otu-000431","83.36111111","36","0","0.515625","0.514285714","0.75","o--Sphingomonadales","0","p--Proteobacteria","0.80379372","1.47843E-4","1.18423E-4","2.26458E-4","false","0","BacV5-Otu-000431","498","g--Kaistobacter-unclassified","4650","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Sphingomonadales(100);f--Sphingomonadaceae(100);g--Kaistobacter(100);g--Kaistobacter-unclassified(100);""","0.28450891","0.597087379","1.65323E-4"
"65531","2.15975104","0.00332657","c--Alphaproteobacteria","0.46301633","0.55714286","no","56","5","f--Bradyrhizobiaceae","g--Balneimonas","false","k--Bacteria","BacV5","BacV5-Otu-000414","82.14285714","56","0","0.5625","0.514285714","0.833333333","o--Rhizobiales","0","p--Proteobacteria","0.83432128","1.31584E-4","8.07E-5","2.96822E-4","false","0","BacV5-Otu-000414","519","g--Balneimonas-unclassified","34856","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Rhizobiales(100);f--Bradyrhizobiaceae(83);g--Balneimonas(83);g--Balneimonas-unclassified(83);""","0.2281746","0.640776699","1.72047E-4"
"65533","2.11618257","0.00563524","c--Tremellomycetes","0.47254902","0.51768906","yes","79","4","f--Mrakiaceae","g--Itersonilia","false","k--Fungi","Ftrad","Ftrad-Otu-00005","73.6835443","79","0","0.953125","0.985714286","1.0","o--Cystofilobasidiales","0","p--Basidiomycota","0.84054535","0.017110564","0.021439825","0.054692192","false","0","Ftrad-Otu-00005","197688","s--Itersonilia-perplexans","46000","""k--Fungi(100);p--Basidiomycota(100);c--Tremellomycetes(100);o--Cystofilobasidiales(100);f--Mrakiaceae(100);g--Itersonilia(99);s--Itersonilia-perplexans(94);""","0.20755928","0.980582524","0.031716998"
"65538","2.27385892","0.00772434","c--TK10","0.43978102","0.39583333","no","33","4","f--FFCH4570","f--FFCH4570-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000480","61.39393939","33","0","0.59375","0.528571429","0.291666667","o--B07-WMSP1","0","p--Chloroflexi","0.81802015","2.42207E-4","1.56433E-4","6.75E-5","false","0","BacV5-Otu-000480","440","f--FFCH4570-unclassified","37818","""k--Bacteria(100);p--Chloroflexi(100);c--TK10(100);o--B07-WMSP1(100);f--FFCH4570(100);f--FFCH4570-unclassified(100);f--FFCH4570-unclassified(100);""","0.18774905","0.466019417","1.52002E-4"
"65540","2.34647303","4.2479E-4","c--Actinobacteria","0.42617153","0.64285714","no","28","5","f--Nocardioidaceae","g--Nocardioides","false","k--Bacteria","BacV5","BacV5-Otu-000209","80.10714286","28","0","0.859375","0.571428571","0.958333333","o--Actinomycetales","0","p--Actinobacteria","0.80764671","4.10447E-4","1.77269E-4","6.47132E-4","false","0","BacV5-Otu-000209","1195","g--Nocardioides-unclassified","5242","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Nocardioidaceae(100);g--Nocardioides(100);g--Nocardioides-unclassified(100);""","0.26264637","0.796116505","4.13937E-4"
"66568","2.43360996","8.1524E-4","c--Tremellomycetes","0.41091219","0.51470588","no","17","5","f--Bulleribasidiaceae","g--Vishniacozyma","false","k--Fungi","Ftrad","Ftrad-Otu-00092","70.29411765","17","0","0.78125","0.657142857","0.763888889","o--Tremellales","0","p--Basidiomycota","0.79519858","0.001469669","3.68949E-4","5.51138E-4","false","0","Ftrad-Otu-00092","3267","s--Vishniacozyma-carnescens","5682","""k--Fungi(100);p--Basidiomycota(100);c--Tremellomycetes(100);o--Tremellales(100);f--Bulleribasidiaceae(100);g--Vishniacozyma(100);s--Vishniacozyma-carnescens(100);""","0.250157","0.733009709","7.74598E-4"
"65544","2.16182573","0.00207375","c--Alphaproteobacteria","0.46257198","0.63865235","no","74","4","c--Alphaproteobacteria-unclassified","c--Alphaproteobacteria-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000471","78.17567568","74","0","0.1875","0.557142857","0.319444444","c--Alphaproteobacteria-unclassified","0","p--Proteobacteria","0.8340249","5.24E-5","3.94123E-4","1.27482E-4","false","0","BacV5-Otu-000471","454","c--Alphaproteobacteria-unclassified","23536","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);c--Alphaproteobacteria-unclassified(93);c--Alphaproteobacteria-unclassified(93);c--Alphaproteobacteria-unclassified(93);c--Alphaproteobacteria-unclassified(93);""","0.22925418","0.359223301","1.94767E-4"
"65556","2.30705394","0.00237992","c--Agaricomycetes","0.43345324","0.62703963","no","66","5","f--Coriolaceae","g--Trametes","false","k--Fungi","Ftrad","Ftrad-Otu-00213","75.0","66","0","0.53125","0.585714286","0.430555556","o--Polyporales","0","p--Basidiomycota","0.81327801","2.20507E-4","1.81354E-4","1.26246E-4","false","0","Ftrad-Otu-00213","853","s--Trametes-versicolor","21868","""k--Fungi(100);p--Basidiomycota(100);c--Agaricomycetes(100);o--Polyporales(100);f--Coriolaceae(100);g--Trametes(100);s--Trametes-versicolor(89);""","0.25423729","0.514563107","1.74257E-4"
