ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
BacV5_Otu_000787	0.000268539	0.000936765	0.000677461	0	0	0.000176866	0.003143034	6.7626E-05	0.000129316	3.67082E-05	0.00066394	6.03271E-05	2.13261E-05	0.000338104	4.75965E-05	7.24609E-05	0	0.0009117	0	0	0	0	0	5.74806E-05	0	0	0	0	0	0	0	0	0	0	0	0.000105501	0	0
BacV5_Otu_000812	0	0	0	0	0	0	0	0	0	0	0	0	2.13261E-05	2.60173E-05	0	0	0.000609033	0	0	0	0.000157382	9.1851E-05	0.000819127	0.000660568	0.000130126	0.00013968	0.000237832	4.68798E-05	0	0	0.000317712	0	0	0.00109685	9.06906E-05	0.00035157	0.000108923	0.000736068
BacV5_Otu_000866	0	0	4.23723E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000252544	0.000567252	0.000861411	0.000260212	0.000219477	0.000686715	0	0.000925184	0	0	0	0	0.000693069	0.000385304	3.51698E-05	0.000399251	0.000294577
BacV5_Otu_000888	0	0	0	0	0	0	0.000508482	0.000236645	0.000244232	5.50611E-05	0.00037115	9.04874E-05	0.000319781	0.000494063	0.002326117	0.000506973	0.000680628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.89E-05	6.80197E-05	0	0	0
BacV5_Otu_000930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.88901E-05	0.000157644	0.000258603	0.004595752	0.000239424	0.000105719	0	0.001030794	0	0	0	0	5.7798E-05	0.000475914	0	0.000399251	2.94667E-05
BacV5_Otu_000950	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000367287	0	0.000402204	0.000195174	7.98225E-05	0.000818651	9.37545E-05	0	0	0.000564661	0	0	0.000115588	0.000430612	0.00035157	0.000798136	0.000471227
Ftrad_Otu_00001	0	0.007131433	0.001596673	0.005628085	0.00114741	0.003243439	0.004086439	0.000823828	0.003189447	0.00300551	0.003256642	0.190569082	0.066732058	0.007162798	0.017061224	0.006292851	0.007016219	0.018396399	0.0539977	0.145101334	0.00111215	0.036786645	0.153889808	0.014981313	0.067664966	0.002072418	0.033226902	0.030059438	0.050601876	0.066666091	0.009416518	0.002398435	0.005805251	0.015969054	0.001447845	0.056425894	0.091947739	0.001355452
Ftrad_Otu_00002	0.00461202	0.007131433	0.06038476	0.016670065	0.006839425	0.00710386	0.032933495	0.016186761	0.002128899	0.007475133	0.002328662	0.026184583	0.078178256	0.03646247	0.089745929	0.026272441	0.011860988	0.059425048	0.074053743	0.026961867	0.039363268	0.078310386	0.047110751	0.046211031	0.081275692	0.034726329	0.037047894	0.016768978	0.072496692	0.058703648	0.063661816	0.017079844	0.020450679	0.067463091	0.056840666	0.071302127	0.080412286	0.024399217
Ftrad_Otu_00003	0.066504984	0	0	0	0.002291797	0	0.000455952	0.000549392	0.017771447	0.001505355	0.000466732	0	0	0	0.000362365	0.000192038	0.004923229	0.003120692	0	0	0	0.0597826	0.085238982	0.035785167	0.062995945	0.013883229	0.100862052	0.006377005	0.020055781	0.097357088	0.014888349	0.001803375	0.000532043	0.065492749	0.037958378	0.049021398	0.020362357	0.147851823
Ftrad_Otu_00004	0.012942248	0.01065371	0.002392813	0.01302051	0.015794267	0.012830903	0.022663985	0.049316179	0.003189447	0.00300551	0.00694886	0.016844557	0.019314489	0.013743143	0.023290256	0.021545874	0.009791273	0.028289639	0.062555504	0.014124643	0.022777215	0.098061494	0.027330024	0.014524063	0.029959103	0.023123569	0.026585284	0.009112884	0.041182521	0.035274933	0.106543161	0.020122445	0.020123255	0.033884392	0.022605518	0.042067744	0.033392067	0.022992878
Ftrad_Otu_00005	0.002312132	0.002151752	0	0.007488021	0	0.00710386	0.009029317	0.006276435	0.002128899	0.00300551	0.0027929	0.003664954	0.004272484	0.002879311	0.004687325	0.006860433	0.010482274	0.003120692	0.013252732	0.0026836	0.00222146	0.001829722	0.000545038	0.013217403	0.000926173	0.008671904	0.008313988	0.001542284	0.005346114	0.002095327	0.005895132	0.009450272	0.013017515	0.000549653	0.000822342	0.002364397	0.001416385	0.001297613
Ftrad_Otu_00006	0	0.059069156	0.00079907	0	0	0	0	0.000274783	0	0	0	0	0	0.019305155	0	0	0	0	0	0	0	0.018940872	0.007965808	0.026489684	0.047362835	0.0289927	0.045986196	0.140586499	0.064067862	0.032170792	0.050765539	0.11918375	0.115931763	0.067816099	0.110765906	0.064519658	0.047170637	0.046875754
Ftrad_Otu_00007	0.000772079	0.002151752	0	0.083876367	0.003433176	0.00710386	0.002274989	0.00191984	0.003189447	0.001505355	0.004644905	0.004879765	0.001072068	0.000481213	0.012858342	0.000192038	0.001412341	0.001042724	0.006074148	0.000896377	0	3.30362E-05	0	0.000122625	3.70848E-05	0	0	0	1.37572E-05	0	0	0.035734085	0.017892469	1.37498E-05	1.30652E-05	2.77283E-05	0	0.000011603
Ftrad_Otu_00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015001233	0.010151751	0.024556803	0.051104445	0.026607899	0.058428544	0.122768253	0.059245501	0.029407951	0.042388718	0.113849306	0.105201557	0.067651397	0.099598377	0.052794679	0.041607258	0.055385032
