ID	S54	S56	S109	S110	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S195	S196	S197	S198	S199	S201	S203	S204	S205	S206	S207	S208	S209	S210	S243	S244	S245	S246	S247	S248	S249	S250	S253	S254	S255	S256
BacV5_Otu_000098	0.001350516	0.000303809	0	0.00038163	0	0.000740485	0.000664802	0.001888592	0.000448512	0.000312049	0	0.001185698	0.000276423	0.000228256	0.000361488	0.000362715	0.00014514	0.000160079	0.000141872	0.001008763	0	0.000326922	0.000260681	0.001073429	0.000379635	0.000309798	0.000696758	0.00022616	0.000413972	0.001518086	0.001713947	0.000462562	0.000465232	0.000369644	0	9.33665E-05	0.000211652	0.000413443	0.001027241	0.000223345	0.001072299	0.000256819	0.000883723	0.000336437	0.000524194
BacV5_Otu_000099	0.003213555	0.011002982	0	0	0.00052451	0.000296346	5.11747E-05	0.000108141	0	0	0.000634007	0.000175863	3.45625E-05	0.00038036	6.57474E-05	2.26786E-05	0	2.66839E-05	0	0.000157073	0	4.36039E-05	3.72497E-05	0	7.59535E-05	0.000760019	0	0	0	0	0.000508542	0	2.02379E-05	0	0	0.000186713	3.02423E-05	0.002145619	0	0	0.000137622	0	0.000248729	0	0
BacV5_Otu_000100	0.000519926	0	0.001299203	0	0.001833021	0.000444443	0.000358097	0.000270302	0.000896562	0.000857596	0.000211438	0.000175863	0.000241879	0.000304314	0.000131485	0.000849637	0.000181417	0.000666607	0.000472727	0.000314088	0	0.000130798	9.31183E-05	0.001417424	0.000789268	0.000844384	0.002433778	0.00126498	0.000376355	0.004829609	0.000508542	0.001514341	0.000242792	0.001255507	0.000561044	0	0.000513833	0.004007549	0.002904229	0.000706866	0.000220175	8.56231E-05	0.00151779	0.000458713	0.000579335
BacV5_Otu_000101	0.000104035	0.000303809	0.000289048	0.00014315	0.000655539	0.000592489	0.000460356	0.000216255	0.000358847	0.001013341	0.000634007	8.79406E-05	0.000310963	0.000266287	0.000131485	0.000147389	0.00014514	0.000293433	0.000189153	0.000538298	0	0.000109001	0.000279295	0.000556924	7.59535E-05	0.000591241	0.000241312	0.000903933	0.000451587	0.000637263	0.000667339	0.000642315	0.000303469	0.000184861	9.35576E-05	0.000373346	0.00015119	0.00030323	0.000570989	0.001041296	0.00033022	0.000570502	0.000662961	0.000244707	0.000441468
BacV5_Otu_000102	0.000623837	0.000405031	0.0004335	0	0.001702348	0.000444443	0.000204663	0.000648443	0.00134415	0.00046799	0.000422774	0.00061521	0.000414568	0.000266287	0.000492863	0.000940167	0.000544024	0.000573344	0.000519972	0.00091919	0	0.000370493	0.000725794	0.00053042	0.000212636	0.00112548	0.001098226	0.001061928	0.000131761	0.003079596	0.001998948	0.002461325	0.000566304	0.000628207	0	0.000489951	0.000120957	0.000826493	0.001198212	0.000558147	0.000605212	0.000997887	0.00096648	0.000947474	0.000744718
BacV5_Otu_000103	0.000208045	0.000101293	0	0.000238558	0.000393442	0.000888431	0.000306958	0.001026254	0.000538159	0.000234058	0.000211438	0.001536395	0.000241879	0.000608415	0.000230072	0.000702485	0.000435274	0.000226761	0.000378223	0.00062795	0.000352328	0.000435842	0.001190409	0.001218999	0.000758938	0.000366101	0.000937683	0.001400295	0.001146864	0.001224676	0.000921294	0.000488246	0.000505664	7.39539E-05	4.67813E-05	9.33665E-05	3.02423E-05	0	0.000228486	7.44611E-05	0.000110101	0.00011416	8.29255E-05	3.0596E-05	8.28095E-05
BacV5_Otu_000104	0.000727723	0.000101293	0.0004335	0.00014315	0.000786528	0.000740485	0.000306958	0.000756423	0.000358847	0	0	0.000571296	0.000207333	0.000228256	0.000230072	0.00017006	0.000833892	0.000520041	0.000236428	0.000426208	0	0.000697137	0	0.000490661	0.000455522	0.000140845	0.001606219	0.000926507	0.0001694	0.002201937	0.000889557	0.001386211	0.00010118	0.000591279	0.00037411	0.000210047	3.02423E-05	0.000606249	0.000285589	0.000558147	0.00033022	0.000855472	0.000580146	0.000886409	0.000386309
BacV5_Otu_000105	0.000623837	0	0	0.00042931	0.001963656	0.001184171	0.001379606	0.000324342	0.00134415	0.000623874	0.001267089	0.002149434	0.001724762	0.002542071	0.000919559	0.00148295	0.002244234	0.0002801	0.001746527	0.00035894	0	0.000152594	0	0.00072916	0.000865083	0.000619375	0.001098226	0.000452202	0.001128087	4.90534E-05	6.36003E-05	0.00141184	0.000384358	0	0	0.000186713	0.001057229	0.000523628	0.001198212	0.000223345	0	2.85429E-05	0	0.000122371	2.76049E-05
BacV5_Otu_000106	0.000104035	0.000101293	0	0.003185839	0.000917478	0	0.000460356	0.001834746	0.000448512	7.80333E-05	0.000422774	0.000175863	6.91222E-05	3.80509E-05	6.57474E-05	0.000555284	7.2576E-05	0.000240096	0	0	0	6.54042E-05	0.000260681	0.000980768	0.001062142	0.000788142	8.04522E-05	0.000180937	0.000244668	0.000441281	0.000699091	5.14201E-05	0.00010118	0	0	0	0.000120957	2.75751E-05	2.85673E-05	3.72322E-05	8.25786E-05	0.000256819	0	0.000122371	0.00022079
BacV5_Otu_000107	0.000104035	0	0	0	0.001179259	0.001331966	0.001124454	0.002856679	0.001254669	0.00046799	0.001056164	0.000351655	0.000345501	0.000304314	0.000460023	0.000657198	0.000978753	0.001784209	0.000756117	0.002684844	0	0.001067036	0.003136384	0.002935684	0.002348403	0.001939634	0.00251378	0.001422844	0.002964351	0.005314475	0.005153109	0.002103249	0.003185943	3.69785E-05	0	0	3.02423E-05	8.27201E-05	0.000342684	0.000111687	0.000220175	0.000199761	0.0001382	0.000152958	8.28095E-05
BacV5_Otu_000110	0	0	0	0	0.000131187	0.000148198	0.00158362	0.005107192	8.97395E-05	7.80333E-05	0.001793954	4.39725E-05	3.45625E-05	0.000228256	0.000230072	0.000317392	0	0.018979015	0	0.002260848	0	0	0.000707199	0.000358104	0.000485873	5.63433E-05	0.000777081	0.000474799	0	0.000490285	6.36003E-05	0	0.000404578	0	0	0	0	0	0	0	0	0	0	0	0
BacV5_Otu_000112	0	0	0	0.000572319	0	0	0.000358097	0	8.97395E-05	0	0	4.39725E-05	0	0.000228256	0	2.26786E-05	0	0	0	0.000471047	0.000100694	0.000457622	0.000670007	0.00092781	0.001077297	0.000731894	0.000428906	0.000723297	0.000225852	0	0.000127191	7.71279E-05	0	0	0	4.66858E-05	0.000241879	0	2.85673E-05	0	0	0	0	0	0
BacV5_Otu_000113	0.001039231	0.000405031	0.000144548	4.7722E-05	0.00131009	0.000444443	0.000204663	0.000270302	0.000627788	0	0.000422774	0.000131904	0.000207333	7.60986E-05	0.000394335	0.000589258	0.000616509	0.000613316	0.000378223	0.000314088	0.000251692	0.000326922	0.000390963	0.000344847	0.000455522	0.001237868	0.000509279	0.000610361	0.00030111	0.003420429	0.001618905	0.001232406	0.000950162	0.000480476	0	0.000513268	0.000392986	0.000991603	0.000884714	0.000297768	0.000632701	0.000997887	0.001049221	0.00061151	0.000386309
