ID	S22	S23	S24	S25	S26	S27	S28	S15	S16	S61	S18	S21	S63	S72	S73	S75	S76	S64	S65	S66	S67	S68	S69	S70	S71	S227	S228	S229	S230	S231	S232	S234	S235	S236	S237	S238	S239	S240	S241	S242
BacV5_Otu_000012	0.001527759	0.000472977	0.001931155	0.001873757	0.001644185	0.001410703	0.001060031	0.000673997	0.001124284	0.000901494	0.000987033	0.000211903	0.001418559	0.000296937	0.000246152	0.001415629	0.00082448	0.005129376	0.001866127	0.001679782	0.001751126	0.000641309	0.000817178	0.000605523	0.000395592	0.00651102	0.012816902	0.004496732	0.006015474	0.017687315	0.020987539	0.008961882	0.00762442	0.011284972	0.00603065	0.010369167	0.009629324	0.007678714	0.014318092	0.005727043
BacV5_Otu_000013	0.001820944	0.001552138	0.004173368	0.004978831	0.001052995	0.003017343	0.002363849	0.001922936	0.001204478	0.009373626	0.005303526	0.006416966	0.00411948	0.004187784	0.009377569	0.013560342	0.004209009	0.006703086	0.019897974	0.008650723	0.022292346	0.020831587	0.010435797	0.005253289	0.004135857	0.017973371	0.004215762	0.011123324	0.009772235	0.003260076	0.004890394	0.016498999	0.016114457	0.006288676	0.007076788	0.016457312	0.005337402	0.009153015	0.005065203	0.004953714
BacV5_Otu_000014	0.030676847	0.002157989	0.023746998	0.010512625	0.002169012	0.01263238	0.004049477	0.013191647	0.002965026	0.006382682	0.00899719	0.00984932	0.022217702	0.00716844	0.001924468	0.035851461	0.044941778	0.013207576	0.011078347	0.022061486	0.00777805	0.009615769	0.010401077	0.005917958	0.014306396	0.005724333	9.9666E-05	0.000498254	0.013728504	0.001741752	0.000896525	0.004205236	0.007952899	0.005272306	0.002335652	0.003213678	0.000651981	0.001385311	0.000727227	0.000142322
BacV5_Otu_000015	0.005323809	0.010354354	0.047131637	0.002392813	0.000526817	0.002515906	0.003628683	0.008019735	0.000723088	0.002586767	0.010157114	0.036957612	0.004364188	0.002369827	0.001352114	0.00010127	0.001030355	0.001766186	0.003149357	0.0011801	0.004538323	0.010650289	0.002800423	0.008896443	0.009847778	0.024389969	0.001343565	0.017586494	0.006957716	0.006710727	0.001898441	0.008454726	0.006278047	0.002208848	0.00073464	0.00419446	0.000401335	0.000462261	0.00362402	7.11667E-05
BacV5_Otu_000016	0.003809368	0.000270336	0.000107512	0.001769871	6.5887E-05	0.00131009	0.000530339	0.000192677	0.000241163	0.015403307	0.000395083	0.001481152	0.005524669	0.005240679	0.018084822	0.006134631	0.001133256	0.003599386	0.006016342	0.010157536	0.016219052	0.031078492	0.000426546	0.006946188	0.000724978	4.43225E-05	0.002088197	9.96965E-05	0.00031869	0.018681065	3.58966E-05	0.000689356	0.000698687	0.00261856	0.000108914	4.30058E-05	0.000852394	0.005629078	0.008317947	0
BacV5_Otu_000017	0	6.75997E-05	0.000429888	0.001250069	6.5887E-05	0.000100917	7.07493E-05	0	0.000241163	0.001463979	0.000197586	0.000423702	0.013622226	0.012492225	0.00302617	0.006334307	0.004719523	0.000498244	0.001183687	7.16126E-05	0.012112145	0.010368391	0.002482297	0.00388753	0.000593254	0.000531572	0	0	0.000716723	0	0.000466424	0.004034388	0	0	0	0	0.000100368	0.000173406	0.00016793	0
BacV5_Otu_000022	0.001293069	0.000135189	0	0.004566101	0.000263488	0.000302679	0.000247572	0.000962532	0	0.011466085	0.000395083	0.000211903	0.005219579	0.007265821	0.009498034	0.011691136	0.007060191	0.001915112	0.013740541	0.009212008	0.011304732	0.026544071	0.008870645	0.00388753	0.006709027	0.000265867	0.000348731	0.003739519	0.003255537	0.000762876	0.000466424	0.002322206	0.003994654	5.14964E-05	0.000108914	4.30058E-05	0.000200714	0.000346742	0.000839	0.012902173
BacV5_Otu_000025	0.009835699	0.003769474	0.004066858	0.003429069	0.001775451	0.001712401	0.00225828	0.002114763	0.005115989	0.002698887	0.004912886	0.001903412	6.17729E-05	0.006046987	0.000819965	0.001011634	0.002776368	0.00258465	0.000631701	0.00110867	0.00343192	0.000320773	0.0102969	0.005186766	0.00128436	0.002298795	0.000199309	0.000664211	0.005700939	0.034632032	0.000215335	0.000947583	0.004536543	0.003130156	0.000653075	0.001159666	5.01871E-05	0.002363905	0.001620608	0.000142322
BacV5_Otu_000027	0.000823307	0.000337893	0.000537294	0.002081454	0.000395172	0.000705924	0.000388979	0.001250877	0.000642804	0.00033828	0.002365122	0.000211903	0.000370506	0.000445329	0.000246152	0.001920095	0.000412435	0.000821797	0.000710599	0.000715595	0.000701298	0.000769457	0.000888164	0.000336506	0.000395592	0.005067671	0.005595571	0.003541768	0.003255537	0.002501578	0.004179891	0.006165167	0.005017656	0.004406518	0.005600735	0.005597812	0.008892357	0.005971356	0.001787912	0.005375701
BacV5_Otu_000028	0.00141043	0	0.00118117	0.008778097	6.5887E-05	0.00181292	0.000141487	0.000192677	0.001685336	0.011685758	0.001578178	0.00922727	0	0	0.003433499	0	0	7.47731E-05	0.000894639	0.005727356	0	9.62568E-05	3.55615E-05	0	3.29798E-05	4.43225E-05	0	0	0	0.020557745	0	0.000430976	0	0	5.44604E-05	0	5.01871E-05	0.021486524	0.000335795	0
BacV5_Otu_000030	0.004275913	0.000608019	0.001717005	0.006317499	0.000987258	0.002013889	0.0014128	0.002402343	0.002325652	0.001014049	0.017527136	0.000741207	0.003016587	0.001260581	0.001433925	0.00643411	0.003697894	0.008344478	0.005678501	0.002641832	0.005452926	0.002878463	0.002163939	0.003420187	0.002236941	0.003135714	0.002236971	0.000995936	0.003492791	0.001198205	0.001576648	0.002064795	0.003421925	0.002976741	0.019646012	0.002273461	0.005585217	0.002766216	0.001509036	0.004108509
