"SUID","0.001_ 2_corsparcc.txt(1)_present","0.001_ 3_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"45442","true","true","0.49230769230769234","32.0","65","Ftrad_Otu_00033","false","Ftrad_Otu_00033"
"45443","true","true","0.49","49.0","100","BacV5_Otu_000048","false","BacV5_Otu_000048"
"45444","true","true","0.47727272727272735","31.500000000000004","66","BacV5_Otu_000205","false","BacV5_Otu_000205"
"45445","true","true","0.48235294117647065","41.00000000000001","85","Ftrad_Otu_00034","false","Ftrad_Otu_00034"
"45446","true","false","0.49999999999999994","1.4999999999999998","3","BacV5_Otu_000202","false","BacV5_Otu_000202"
"45447","true","true","0.4999999999999999","8.999999999999998","18","BacV5_Otu_000160","false","BacV5_Otu_000160"
"45448","true","false","0.5000000000000001","10.000000000000002","20","BacV5_Otu_000067","false","BacV5_Otu_000067"
"45449","true","true","0.5","7.0","14","BacV5_Otu_000076","false","BacV5_Otu_000076"
"45450","true","true","0.5000000000000001","7.500000000000001","15","BacV5_Otu_000068","false","BacV5_Otu_000068"
"45451","true","true","0.489247311827957","45.5","93","BacV5_Otu_000095","false","BacV5_Otu_000095"
"45452","true","false","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00125","false","Ftrad_Otu_00125"
"45453","true","true","0.5","7.0","14","BacV5_Otu_000028","false","BacV5_Otu_000028"
"45454","true","false","0.5000000000000001","5.000000000000001","10","Ftrad_Otu_00135","false","Ftrad_Otu_00135"
"45455","true","true","0.47058823529411775","16.000000000000004","34","Ftrad_Otu_00035","false","Ftrad_Otu_00035"
"45456","true","true","0.4999999999999999","8.999999999999998","18","Ftrad_Otu_00006","false","Ftrad_Otu_00006"
"45457","true","false","0.49999999999999994","6.499999999999999","13","Ftrad_Otu_00289","false","Ftrad_Otu_00289"
"45458","true","true","0.4285714285714285","2.9999999999999996","7","BacV5_Otu_000025","false","BacV5_Otu_000025"
"45459","true","true","0.5000000000000001","9.500000000000002","19","Ftrad_Otu_00130","false","Ftrad_Otu_00130"
"45460","true","true","0.49999999999999994","11.499999999999998","23","Ftrad_Otu_00096","false","Ftrad_Otu_00096"
"45461","true","true","0.5","21.0","42","Ftrad_Otu_00216","false","Ftrad_Otu_00216"
"45462","true","true","0.5000000000000001","5.000000000000001","10","Ftrad_Otu_00050","false","Ftrad_Otu_00050"
"45463","true","true","0.5","8.0","16","Ftrad_Otu_00024","false","Ftrad_Otu_00024"
"45464","true","true","0.45714285714285713","32.0","70","BacV5_Otu_000170","false","BacV5_Otu_000170"
"45465","true","true","0.4657534246575342","34.0","73","BacV5_Otu_000123","false","BacV5_Otu_000123"
"45466","true","true","0.4305555555555555","15.499999999999998","36","BacV5_Otu_000065","false","BacV5_Otu_000065"
"45467","true","true","0.4583333333333333","5.5","12","BacV5_Otu_000031","false","BacV5_Otu_000031"
"45468","true","true","0.46226415094339623","24.5","53","BacV5_Otu_000017","false","BacV5_Otu_000017"
"45469","true","true","0.4259259259259259","11.499999999999998","27","BacV5_Otu_000077","false","BacV5_Otu_000077"
"45470","true","true","0.25000000000000006","1.0000000000000002","4","BacV5_Otu_000066","false","BacV5_Otu_000066"
"45471","true","true","0.4000000000000001","4.000000000000001","10","BacV5_Otu_000050","false","BacV5_Otu_000050"
"45472","true","true","0.4750000000000001","9.500000000000002","20","Ftrad_Otu_00030","false","Ftrad_Otu_00030"
"45473","true","true","0.4431818181818182","19.5","44","Ftrad_Otu_00092","false","Ftrad_Otu_00092"
"45474","true","true","0.5","15.0","30","BacV5_Otu_000266","false","BacV5_Otu_000266"
"45475","true","true","0.44444444444444453","4.000000000000001","9","BacV5_Otu_000199","false","BacV5_Otu_000199"
"45476","true","true","0.5000000000000001","7.500000000000001","15","BacV5_Otu_000138","false","BacV5_Otu_000138"
"45477","true","true","0.4375","7.0","16","BacV5_Otu_000120","false","BacV5_Otu_000120"
"45478","true","true","0.4583333333333333","5.5","12","BacV5_Otu_000064","false","BacV5_Otu_000064"
"45479","true","true","0.47058823529411764","8.0","17","Ftrad_Otu_00025","false","Ftrad_Otu_00025"
"45480","true","true","0.5","28.5","57","BacV5_Otu_000150","false","BacV5_Otu_000150"
"45481","true","true","0.43859649122807026","25.000000000000004","57","BacV5_Otu_000102","false","BacV5_Otu_000102"
"45482","true","true","0.4590909090909091","50.5","110","BacV5_Otu_000074","false","BacV5_Otu_000074"
"45483","true","true","0.5","19.5","39","BacV5_Otu_000194","false","BacV5_Otu_000194"
"45484","true","true","0.4888888888888889","22.0","45","Ftrad_Otu_00114","false","Ftrad_Otu_00114"
"45485","true","true","0.4789473684210526","45.5","95","BacV5_Otu_000073","false","BacV5_Otu_000073"
"45486","true","false","0.5000000000000001","4.000000000000001","8","BacV5_Otu_000042","false","BacV5_Otu_000042"
"45487","true","false","0.5","5.5","11","Ftrad_Otu_00141","false","Ftrad_Otu_00141"
"45488","true","false","0.5","11.0","22","Ftrad_Otu_00137","false","Ftrad_Otu_00137"
"45489","true","true","0.490566037735849","25.999999999999996","53","Ftrad_Otu_00109","false","Ftrad_Otu_00109"
"45490","true","true","0.42622950819672123","25.999999999999996","61","Ftrad_Otu_00073","false","Ftrad_Otu_00073"
"45491","true","false","0.5","11.0","22","Ftrad_Otu_00047","false","Ftrad_Otu_00047"
"45492","true","false","0.5000000000000001","5.000000000000001","10","BacV5_Otu_000343","false","BacV5_Otu_000343"
"45493","true","true","0.425","17.0","40","BacV5_Otu_000022","false","BacV5_Otu_000022"
"45494","true","true","0.5000000000000001","20.000000000000004","40","BacV5_Otu_000011","false","BacV5_Otu_000011"
"45495","true","true","0.49999999999999994","1.4999999999999998","3","BacV5_Otu_000008","false","BacV5_Otu_000008"
"45496","true","true","0.5","32.0","64","BacV5_Otu_000045","false","BacV5_Otu_000045"
"45497","true","true","0.4868421052631578","18.499999999999996","38","Ftrad_Otu_00060","false","Ftrad_Otu_00060"
"45498","true","true","0.4999999999999999","18.999999999999996","38","Ftrad_Otu_00018","false","Ftrad_Otu_00018"
"45499","true","true","0.47023809523809523","39.5","84","BacV5_Otu_000206","false","BacV5_Otu_000206"
"45500","true","true","0.41666666666666674","5.000000000000001","12","Otrad_Otu_00055","false","Otrad_Otu_00055"
"45501","true","true","0.43069306930693074","43.50000000000001","101","Otrad_Otu_00002","false","Otrad_Otu_00002"
"45502","true","false","0.49999999999999994","11.999999999999998","24","Ftrad_Otu_00368","false","Ftrad_Otu_00368"
