"Replicate"	"Flowcell"	"Run"	"Locus"	"X.SampleID"	"Ecotype"	"Year"	"mon"	"month_2"	"Day"	"Experiment"	"Month"	"Combi"	"label"	"Group"	"numFtrad_Otu_s"	"c__Agaricomycetes_unclassified"	"c__Agaricostilbomycetes_unclassified"	"c__Arthoniomycetes_unclassified"	"c__Dothideomycetes_unclassified"	"c__Lecanoromycetes_unclassified"	"c__Leotiomycetes_unclassified"	"c__Microbotryomycetes_unclassified"	"c__Sordariomycetes_unclassified"	"c__Tremellomycetes_unclassified"	"k__Fungi_unclassified"	"o__Acrospermales"	"o__Agaricales"	"o__Agaricostilbales"	"o__Amylocorticiales"	"o__Atheliales"	"o__Auriculariales"	"o__Caliciales"	"o__Cantharellales"	"o__Capnodiales"	"o__Chaetosphaeriales"	"o__Chaetothyriales"	"o__Chytridiales"	"o__Corticiales"	"o__Cystobasidiales"	"o__Cystobasidiomycetes_ord_Incertae_sedis"	"o__Cystofilobasidiales"	"o__Diversisporales"	"o__Dothideales"	"o__Entylomatales"	"o__Erysiphales"	"o__Erythrobasidiales"	"o__Eurotiales"	"o__Filobasidiales"	"o__Glomerales"	"o__Glomerellales"	"o__GS08"	"o__Helotiales"	"o__Holtermanniales"	"o__Hymenochaetales"	"o__Hypoceales"	"o__Hypocreales"	"o__Lecanorales"	"o__Lecanoromycetes_ord_Incertae_sedis"	"o__Lepidoptera"	"o__Leucosporidiales"	"o__Lichenostigmatales"	"o__Lulworthiales"	"o__Malasseziales"	"o__Microascales"	"o__Microbotryales"	"o__Microbotryomycetes_ord_Incertae_sedis"	"o__Mortierellales"	"o__Myriangiales"	"o__Myrmecridiales"	"o__Onygenales"	"o__Orbiliales"	"o__Pezizales"	"o__Phacidiales"	"o__Phomatosporales"	"o__Platygloeales"	"o__Pleosporales"	"o__Polyporales"	"o__Rhizophydiales"	"o__Rhytismatales"	"o__Russulales"	"o__Saccharomycetales"	"o__Sebacinales"	"o__Sordariales"	"o__Sporidiobolales"	"o__Taphrinales"	"o__Teloschistales"	"o__Thelebolales"	"o__Trechisporales"	"o__Tremellales"	"o__Tubeufiales"	"o__unclassified_Cercozoa"	"o__unclassified_Chytridiomycetes"	"o__unclassified_Chytridiomycota"	"o__unclassified_Cystobasidiomycetes"	"o__unclassified_Rozellomycota"	"o__unclassified_Taphrinomycetes"	"o__Ustilaginales"	"o__Venturiales"	"o__Xylariales"	"p__Ascomycota_unclassified"	"p__Basidiomycota_unclassified"	"p__Chytridiomycota_unclassified"
"S116"	4	"D"	"Ftrad"	"D.Ftrad.4"	"W"	2016	2	4	19	2	"Feb"	"Feb2W"	0.03	"D.Ftrad.4"	977	0	3.23373431638857e-05	0	0.000452722804294399	0	0	0.000323373431638857	0.000129349372655543	0	0.0349566679601604	0	0.00155219247186651	0.0121911783727849	3.23373431638857e-05	3.23373431638857e-05	0.0105743112145906	0	0.0002263614021472	0.0342452464105549	0	0.00455956538610788	0	3.23373431638857e-05	0.000129349372655543	0.00126115638339154	0.292426594231018	0.00239296339412754	0.00206958996248868	0.023185875048506	0.00252231276678308	3.23373431638857e-05	0.000194024058983314	0.00436554132712456	0.000549734833786056	0.000291036088474971	0	0.0386754624240072	0.00953951623334627	0	0	0.00155219247186651	6.46746863277713e-05	0	0	0.322888371491398	0	0	0	0	0.0539710257405252	0.000646746863277713	0.00109946966757211	0	3.23373431638857e-05	0	0.0002263614021472	0	3.23373431638857e-05	3.23373431638857e-05	0	0.0259992239037641	0.000420385461130514	0	0	0.000258698745311085	0	3.23373431638857e-05	0.00310438494373302	0.00882809468374078	0.0142607683352736	6.46746863277713e-05	3.23373431638857e-05	0	0.0799055749579615	0.000646746863277713	0	0	0	0.00097012029491657	0	3.23373431638857e-05	0.000129349372655543	0.00346009571853577	0.000194024058983314	0.00394515586599405	0.000194024058983314	0
"S117"	4	"D"	"Ftrad"	"D.Ftrad.5"	"W"	2016	2	4	19	2	"Feb"	"Feb2W"	0.03	"D.Ftrad.5"	977	0	0	0	0.000310462589257994	0	0	0	0	0	0.00832039739211425	0	0.00111766532132878	0.0140329090344613	6.20925178515989e-05	0	0	0	0	0.0586153368519093	0	0.00142812791058677	0	6.20925178515989e-05	0.000124185035703198	0.000434647624961192	0.167339335610059	0.000310462589257994	0.000248370071406396	0.011611300838249	0.00111766532132878	0	0.00117975783918038	0.00695436199937907	0	0.000807202732070785	6.20925178515989e-05	0.0282520956224775	0.00453275380316672	0	0	0.00111766532132878	0	0	0	0.0261409500155231	0	0	0	0	0.353182241539894	0.000186277553554797	0.00180068301769637	0	0	0	6.20925178515989e-05	0	0	0	0	0.0325364793542378	0.000807202732070786	0	6.20925178515989e-05	0.000310462589257994	0	0	0.00055883266066439	0.0173238124805961	0.0399254889785781	0.000124185035703198	6.20925178515989e-05	0	0.210617820552623	6.20925178515989e-05	0	0	6.20925178515989e-05	0.000310462589257994	0.000124185035703198	0	0.000124185035703198	0.00422229121390872	0.000248370071406396	0.00235951567836076	0.000745110214219187	0
"S118"	4	"D"	"Ftrad"	"D.Ftrad.6"	"C"	2015	2	4	17	1	"Feb"	"Feb1C"	0.03	"D.Ftrad.6"	977	0	0	0	0.000159193420005306	0	0	0.000159193420005306	0	0	0.0124170867604139	0	0.000212257893340409	0.0154417617405147	5.30644733351022e-05	0	0	0	5.30644733351022e-05	0.0745025205624834	0	0.00217564340673919	0	0.000106128946670204	0	0.00206951446006898	0.488882992836296	0	0	0.00180419209339347	0.000106128946670204	0.000106128946670204	0.000212257893340409	0.00647386574688246	0	5.30644733351022e-05	0.000106128946670204	0.0356593260811886	0.0176174051472539	0	0	0.00074290262669143	0	0	0	0.0858052533828602	0	0	0	0	0.0537543114884585	0.000212257893340409	0.000318386840010613	0	0	0	5.30644733351022e-05	0	5.30644733351022e-05	0	0	0.0412841602547095	0.000159193420005306	0	0	0.000212257893340409	0	0	0.00074290262669143	0.0563544706818785	0.00960466967365349	0	0.000265322366675511	0	0.0875033165295834	0.000955160520031839	0	0	0	0.000795967100026532	0	0	5.30644733351022e-05	0.00132661183337755	0.000265322366675511	0.00111435394003715	5.30644733351022e-05	0
"S119"	4	"D"	"Ftrad"	"D.Ftrad.7"	"C"	2016	2	4	19	2	"Feb"	"Feb2C"	0.03	"D.Ftrad.7"	977	0	0	0	4.50958286358512e-05	0	0	0.0532130777903044	0	0	0.0184441939120631	0	0.000360766629086809	0.00721533258173619	0	0	0	4.50958286358512e-05	0	0.0192559188275085	0	0.00103720405862458	0	0.000270574971815107	4.50958286358512e-05	0.00103720405862458	0.474768883878241	0.000135287485907554	0.000135287485907554	0.010011273957159	0.00180383314543405	0	0.000180383314543405	0.0120405862457723	0	0.000541149943630214	0	0.0106877113866967	0.00365276211950395	4.50958286358512e-05	0	0.00076662908680947	0	0	0	0.0292671927846674	0	0	0	0	0.207440811724915	0.00076662908680947	0.000676437429537768	0	0	0	0.000135287485907554	0	0	4.50958286358512e-05	0.00103720405862458	0.0116798196166855	0.000586245772266065	0	0	0.000496054114994363	0	0	0.00157835400225479	0.0104622322435175	0.0131228861330327	0	0.000225479143179256	0	0.102908680947012	4.50958286358512e-05	0.000135287485907554	0	0	0.000180383314543405	0	0.000225479143179256	0	0.000992108229988726	0.000721533258173619	0.00148816234498309	4.50958286358512e-05	0
"S120"	4	"D"	"Ftrad"	"D.Ftrad.8"	"C"	2016	2	4	19	2	"Feb"	"Feb2C"	0.03	"D.Ftrad.8"	977	0	0	0	0.000136630687252357	0	0	0.000136630687252357	0	0	0.00662658833173931	0	0.000204946030878535	0.0407159448012024	0	0	0	0	0	0.329416586965432	0	0.0069681650498702	0	0.000341576718130892	0.000478207405383249	0.0329963109714442	0.123582456619757	6.83153436261784e-05	0.000409892061757071	0.015302636972264	0.00122967618527121	0.000273261374504714	0.000341576718130892	0.00635332695723459	0	6.83153436261784e-05	0	0.0334062030332013	0.0025276677141686	0	0	0.00109304549801886	0	0	0	0.00901762535865555	0	0.000136630687252357	0	0	0.0780161224210958	0.00150293755977593	0.000273261374504714	0	6.83153436261784e-05	0	0.000204946030878535	0	0	0	0	0.0637382156032245	0.000341576718130892	0	0	0.000614838092635606	0	0	0.000956414810766498	0.0262330919524525	0.0155758983467687	0	0.00122967618527121	0	0.185954365350458	6.83153436261784e-05	6.83153436261784e-05	0	0	0.00464544336658013	0	0.000136630687252357	0	0.00437218199207542	6.83153436261784e-05	0.000478207405383249	0.00362071321218746	0
"S121"	4	"D"	"Ftrad"	"D.Ftrad.9"	"C"	2016	2	4	19	2	"Feb"	"Feb2C"	0.03	"D.Ftrad.9"	977	0	0	0	0	0	0	0.000265083236136147	0	0	0.00190859930018026	0	0.000318099883363376	0.00440038171986004	5.30166472272294e-05	0	0	0	5.30166472272294e-05	0.0122998621567172	0	0.000636199766726752	0	5.30166472272294e-05	0	0.000371116530590605	0.289099777330082	0.000265083236136147	0.000106033294454459	0.0100731629731736	0.000583183119499523	0	0.000106033294454459	0.00106033294454459	0	0.000106033294454459	0	0.00890679673417453	0.00954299650090128	0	0	0.000583183119499523	0	0	0	0.228342699607677	0	0	0	0	0.328013996394868	0	0.000159049941681688	0	0	0	5.30166472272294e-05	5.30166472272294e-05	0	0	0	0.00816456367299332	0.000106033294454459	0	0	0.000159049941681688	0	0	0.000477149825045064	0.0121938288622628	0.00434736507263281	0	0.000159049941681688	0	0.0733750397624854	0.000689216413953982	0	0	0.000106033294454459	0	0	0	0	0.00111334959177182	0.000318099883363376	0.0012723995334535	0.000106033294454459	0
"S122"	4	"D"	"Ftrad"	"D.Ftrad.10"	"K"	2015	2	4	17	1	"Feb"	"Feb1K"	0.03	"D.Ftrad.10"	977	0	0	0	0	0	0	0.0301393540023766	0	0	0.000756184509020201	0	0	0.00291671167764935	0.000108026358431457	0	0	0	0	0.00723776601490764	0	0	0	0.000108026358431457	0	0.000756184509020201	0.457275575240359	0	0.000216052716862915	0.00259263260235498	0.000756184509020201	0	0.000648158150588744	0.355730798314789	0	0	0	0.00194447445176623	0.00421302797882683	0	0	0.000648158150588744	0	0	0	0.01631198012315	0	0	0	0	0.0373771200172842	0.000216052716862915	0.000108026358431457	0	0	0	0	0	0	0	0	0.00734579237333909	0.000108026358431457	0	0	0	0	0	0.000324079075294372	0.00453710705412121	0.00529329156314141	0	0.000216052716862915	0	0.0615750243059306	0	0	0	0	0.000108026358431457	0	0	0	0.000108026358431457	0	0.000216052716862915	0.000108026358431457	0
"S123"	4	"D"	"Ftrad"	"D.Ftrad.11"	"K"	2016	2	4	19	2	"Feb"	"Feb2K"	0.03	"D.Ftrad.11"	977	0	0	0	3.48906179128432e-05	3.48906179128432e-05	0	0	0	0	0.026935557028715	0	0.000279124943302746	0.022260214228394	3.48906179128432e-05	0	3.48906179128432e-05	6.97812358256865e-05	6.97812358256865e-05	0.0241094169777747	0	0.00111649977321098	0	0.000174453089564216	0	0.0340881337008478	0.304246188199993	0.000732702976169708	6.97812358256865e-05	0.00861798262447228	0.0010467185373853	0.000558249886605492	0.00586162380935766	0.00858309200655944	0	0.00010467185373853	3.48906179128432e-05	0.00917623251107777	0.00275635881511462	0	0	0.00157007780607795	3.48906179128432e-05	0	0	0.0261679634346324	0	0	0	3.48906179128432e-05	0.238442482816371	3.48906179128432e-05	0.000453578032866962	3.48906179128432e-05	0	0	0	0	0	0	0	0.0190502773804124	0.000348906179128432	0	3.48906179128432e-05	0.000279124943302746	0	0	0.000593140504518335	0.143156205296396	0.0221555423746555	0	0.000348906179128432	0	0.0932975122989428	6.97812358256865e-05	0	0	3.48906179128432e-05	0.000244234325389903	3.48906179128432e-05	0.000139562471651373	3.48906179128432e-05	0.000209343707477059	0.000174453089564216	0.00146540595233942	0.000523359268692649	0
"S124"	4	"D"	"Ftrad"	"D.Ftrad.12"	"K"	2016	2	4	19	2	"Feb"	"Feb2K"	0.03	"D.Ftrad.12"	977	0	0	0	0.000133648148973137	0	0	4.45493829910456e-05	0	0.000311845680937319	0.0216510001336481	0	0.00445493829910456	0.0212500556867287	4.45493829910456e-05	4.45493829910456e-05	0	0	0.000133648148973137	0.0315409631576603	0	0.00142558025571346	0	0.000178197531964182	4.45493829910456e-05	0.00316300619236424	0.381253619637368	0.000222746914955228	0	0.00779614202343298	0.00717245066155834	0.000133648148973137	0.000356395063928365	0.0263286853477079	0	0.000178197531964182	0	0.0301599322849379	0.13164342673854	4.45493829910456e-05	0	0.00115828395776718	0.000356395063928365	0	0	0.0120728827905733	0	0	0	0	0.116942130351495	0.000757339510847775	0.000311845680937319	0	4.45493829910456e-05	0	0.000757339510847775	0	0	0	0	0.0126520247694569	0.00151467902169555	0	0.000178197531964182	0.00111373457477614	0	0	0.000712790127856729	0.103577315454181	0.0111818951307524	8.90987659820911e-05	0.00142558025571346	0	0.0550184879939413	0.000534592595892547	8.90987659820911e-05	0	0.000445493829910456	0.000222746914955228	0	0.000133648148973137	0.000490043212901501	8.90987659820911e-05	0.000980086425803003	0.00730609881053147	0.000133648148973137	0
"S125"	4	"D"	"Ftrad"	"D.Ftrad.13"	"K"	2016	2	4	19	2	"Feb"	"Feb2K"	0.03	"D.Ftrad.13"	977	0	0	0	8.53624703898931e-05	0	0	0.00245417102370943	0	0	0.0101581339763973	0	0.000149384323182313	0.00330779572760836	0	0	0	0	0	0.0167950660492115	0	0.000469493587144412	0	0	0	0.000149384323182313	0.463752961010692	0.000256087411169679	0	0.0074265349239207	0.000469493587144412	2.13406175974733e-05	8.53624703898931e-05	0.0357455344757677	0	2.13406175974733e-05	0	0.011139802385881	0.00390533302033761	0	0	0.000469493587144412	0	0	0	0.137348214857338	0	0	0	0	0.137817708444482	0	0.000405471734351992	0	2.13406175974733e-05	0	0.00012804370558484	0	2.13406175974733e-05	0	0	0.00970998100685034	0.000170724940779786	0	2.13406175974733e-05	6.40218527924198e-05	0	0	0.000810943468703984	0.00642352589683945	0.0241575791203397	2.13406175974733e-05	8.53624703898931e-05	0	0.12339145094859	0	2.13406175974733e-05	0	6.40218527924198e-05	0	0	0	2.13406175974733e-05	0.0015151838494206	8.53624703898931e-05	0.000725580998314091	0.000106703087987366	0
