"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"10755","2.46551724","8.439E-4","c--Actinobacteria","0.40559441","0.82051282","no","13","6","f--Kineosporiaceae","g--Kineococcus","false","k--Bacteria","BacV5","BacV5-Otu-000076","53.69230769","13","0","0.6875","0.7","0.916666667","o--Actinomycetales","0","p--Actinobacteria","0.83716475","5.19986E-4","8.8399E-4","0.003651039","false","0","BacV5-Otu-000076","5598","g--Kineococcus-unclassified","1456","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Kineosporiaceae(100);g--Kineococcus(100);g--Kineococcus-unclassified(100);""","0.41301775","0.77184466","0.001738025"
"10757","2.29310345","0.01170578","c--Tremellomycetes","0.43609023","0.51397849","no","31","6","f--Bulleribasidiaceae","g--Vishniacozyma","false","k--Fungi","Ftrad","Ftrad-Otu-00071","37.80645161","31","0","0.78125","0.628571429","0.680555556","o--Tremellales","0","p--Basidiomycota","0.85632184","0.002985571","5.53022E-4","3.17218E-4","false","0","Ftrad-Otu-00071","4658","s--Vishniacozyma-sp","11728","""k--Fungi(100);p--Basidiomycota(100);c--Tremellomycetes(100);o--Tremellales(100);f--Bulleribasidiaceae(100);g--Vishniacozyma(100);s--Vishniacozyma-sp(100);""","0.24872666","0.694174757","0.001226348"
"11270","2.46551724","0.00479189","c--Thermoleophilia","0.40559441","0.52615385","no","26","6","f--Gaiellaceae","f--Gaiellaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000132","31.0","26","0","0.9375","0.871428571","0.958333333","o--Gaiellales","0","p--Actinobacteria","0.83716475","0.001129451","6.81031E-4","9.78169E-4","false","0","BacV5-Otu-000132","2415","f--Gaiellaceae-unclassified","8814","""k--Bacteria(100);p--Actinobacteria(100);c--Thermoleophilia(100);o--Gaiellales(100);f--Gaiellaceae(100);f--Gaiellaceae-unclassified(100);f--Gaiellaceae-unclassified(100);""","0.25","0.922330097","9.242E-4"
"11271","2.9612069","0.00590763","c--Chloroflexi","0.33770015","0.52564103","no","13","7","f--[Kouleothrixaceae]","f--[Kouleothrixaceae]-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000097","24.61538462","13","0","0.9375","0.857142857","0.972222222","o--[Roseiflexales]","0","p--Chloroflexi","0.78208812","0.002046667","8.69549E-4","0.001186828","false","0","BacV5-Otu-000097","3928","f--[Kouleothrixaceae]-unclassified","6760","""k--Bacteria(100);p--Chloroflexi(100);c--Chloroflexi(100);o--[Roseiflexales](100);f--[Kouleothrixaceae](100);f--[Kouleothrixaceae]-unclassified(100);f--[Kouleothrixaceae]-unclassified(100);""","0.35451505","0.922330097","0.001346149"
"10759","3.15948276","4.9818E-4","c--Alphaproteobacteria","0.3165075","0.46666667","no","6","6","f--Sphingomonadaceae","g--Sphingomonas","false","k--Bacteria","BacV5","BacV5-Otu-000343","10.5","6","0","0.3125","0.671428571","0.208333333","o--Sphingomonadales","0","p--Proteobacteria","0.76005747","1.30269E-4","5.26926E-4","8.19E-5","false","0","BacV5-Otu-000343","626","g--Sphingomonas-unclassified","170","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Sphingomonadales(100);f--Sphingomonadaceae(100);g--Sphingomonas(94);g--Sphingomonas-unclassified(86);""","0.25833333","0.398058252","2.48135E-4"
"10761","2.40948276","0.02219124","c--Mortierellomycetes","0.41502683","0.55333333","no","25","5","f--Mortierellaceae","g--Mortierella","false","k--Fungi","Ftrad","Ftrad-Otu-00076","31.84","25","0","0.703125","0.742857143","0.486111111","o--Mortierellales","0","p--Mortierellomycota","0.8433908","0.00104337","0.005031421","0.001051285","false","0","Ftrad-Otu-00076","4354","s--Mortierella-elongata","16134","""k--Fungi(100);p--Mortierellomycota(100);c--Mortierellomycetes(100);o--Mortierellales(100);f--Mortierellaceae(100);g--Mortierella(100);s--Mortierella-elongata(95);""","0.23555556","0.640776699","0.002401299"
"10762","2.49137931","0.00688514","c--Microbotryomycetes","0.40138408","0.49450549","no","14","7","f--Sporidiobolaceae","g--Sporidiobolus","false","k--Fungi","Ftrad","Ftrad-Otu-00043","42.92857143","14","0","0.453125","0.628571429","0.888888889","o--Sporidiobolales","0","p--Basidiomycota","0.83429119","3.3775E-4","0.00205263","0.002997026","false","0","Ftrad-Otu-00043","11142","s--Sporidiobolus-metaroseus","4308","""k--Fungi(100);p--Basidiomycota(100);c--Microbotryomycetes(100);o--Sporidiobolales(100);f--Sporidiobolaceae(100);g--Sporidiobolus(99);s--Sporidiobolus-metaroseus(99);""","0.33745782","0.665048544","0.001849932"
"11275","2.07327586","0.0068902","c--Betaproteobacteria","0.48232848","0.56049094","no","59","6","f--Oxalobacteraceae","f--Oxalobacteraceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000089","47.40677966","59","0","0.875","0.842857143","0.972222222","o--Burkholderiales","0","p--Proteobacteria","0.88074713","0.001224659","0.001773876","0.001723908","false","0","BacV5-Otu-000089","4418","f--Oxalobacteraceae-unclassified","11800","""k--Bacteria(100);p--Proteobacteria(100);c--Betaproteobacteria(100);o--Burkholderiales(100);f--Oxalobacteraceae(100);f--Oxalobacteraceae-unclassified(89);f--Oxalobacteraceae-unclassified(89);""","0.27723263","0.898058252","0.001585781"
"10764","2.68534483","0.00862069","k--Bacteria-unclassified","0.37239165","0.6","no","5","6","k--Bacteria-unclassified","k--Bacteria-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000159","50.0","5","0","0.75","0.9","0.347222222","k--Bacteria-unclassified","0","k--Bacteria-unclassified","0.81273946","8.90374E-4","0.001903386","3.0209E-4","false","0","BacV5-Otu-000159","1906","k--Bacteria-unclassified","5786","""k--Bacteria(100);k--Bacteria-unclassified(90);k--Bacteria-unclassified(90);k--Bacteria-unclassified(90);k--Bacteria-unclassified(90);k--Bacteria-unclassified(90);k--Bacteria-unclassified(90);""","0.498","0.660194175","0.001028988"
"10767","2.2112069","0.05062203","c--Alphaproteobacteria","0.45224172","0.41678521","no","38","5","f--Sphingomonadaceae","g--Sphingomonas","false","k--Bacteria","BacV5","BacV5-Otu-000196","32.18421053","38","0","0.625","0.8","0.333333333","o--Sphingomonadales","0","p--Proteobacteria","0.86542146","4.76227E-4","0.00105232","1.48782E-4","false","0","BacV5-Otu-000196","1345","s--asaccharolytica","33714","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Sphingomonadales(100);f--Sphingomonadaceae(100);g--Sphingomonas(100);s--asaccharolytica(66);""","0.20353098","0.582524272","5.5754E-4"
"11793","2.39655172","0.00373227","c--Gammaproteobacteria","0.41726619","0.61497326","no","34","6","f--Xanthomonadaceae","g--Arenimonas","false","k--Bacteria","BacV5","BacV5-Otu-000073","44.29411765","34","0","0.96875","0.928571429","0.986111111","o--Xanthomonadales","0","p--Proteobacteria","0.84482759","0.002338659","0.002217849","0.001826704","false","0","BacV5-Otu-000073","5949","g--Arenimonas-unclassified","7412","""k--Bacteria(100);p--Proteobacteria(100);c--Gammaproteobacteria(100);o--Xanthomonadales(100);f--Xanthomonadaceae(100);g--Arenimonas(86);g--Arenimonas-unclassified(86);""","0.33055312","0.961165049","0.002118671"
