"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"10685","2.43959732","1.5003E-4","c--Dothideomycetes","0.40990371","0.67619048","no","15","5","f--Didymellaceae","g--Neoascochyta","false","k--Fungi","Ftrad","Ftrad-Otu-00167","60.8","15","0","0.484375","0.585714286","0.555555556","o--Pleosporales","0","p--Ascomycota","0.79434324","3.02807E-4","1.97581E-4","1.6547E-4","false","0","Ftrad-Otu-00167","1329","s--Neoascochyta-exitialis","496","""k--Fungi(100);p--Ascomycota(100);c--Dothideomycetes(100);o--Pleosporales(100);f--Didymellaceae(100);g--Neoascochyta(100);s--Neoascochyta-exitialis(99);""","0.35348837","0.54368932","2.19049E-4"
"10686","2.03691275","0.00647934","c--Alphaproteobacteria","0.49093904","0.55359937","no","72","5","c--Alphaproteobacteria-unclassified","c--Alphaproteobacteria-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000408","67.04166667","72","0","0.453125","0.485714286","0.069444444","c--Alphaproteobacteria-unclassified","0","p--Proteobacteria","0.85186961","3.07522E-4","2.5314E-4","8.23E-6","false","0","BacV5-Otu-000408","524","c--Alphaproteobacteria-unclassified","21238","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);c--Alphaproteobacteria-unclassified(94);c--Alphaproteobacteria-unclassified(94);c--Alphaproteobacteria-unclassified(94);c--Alphaproteobacteria-unclassified(94);""","0.2940424","0.330097087","1.84436E-4"
"10688","1.82550336","0.02157507","c--Tremellomycetes","0.54779412","0.46772277","no","101","5","f--Cystofilobasidiaceae","g--Cystofilobasidium","false","k--Fungi","Ftrad","Ftrad-Otu-00003","61.56435644","101","0","0.921875","0.728571429","1.0","o--Cystofilobasidiales","0","p--Basidiomycota","0.88207095","0.040425127","0.018129244","0.090710854","false","0","Ftrad-Otu-00003","271626","s--Cystofilobasidium-macerans","53878","""k--Fungi(100);p--Basidiomycota(100);c--Tremellomycetes(100);o--Cystofilobasidiales(100);f--Cystofilobasidiaceae(100);g--Cystofilobasidium(100);s--Cystofilobasidium-macerans(100);""","0.24048577","0.883495146","0.05042445"
"10689","2.53020134","5.04E-6","c--Alphaproteobacteria","0.39522546","0.93939394","no","12","5","f--Sphingomonadaceae","g--Sphingomonas","false","k--Bacteria","BacV5","BacV5-Otu-000016","69.08333333","12","0","0.984375","0.985714286","0.930555556","o--Sphingomonadales","0","p--Proteobacteria","0.78139981","0.010041649","0.015044237","0.01697817","false","0","BacV5-Otu-000016","34436","s--asaccharolytica","10","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Sphingomonadales(100);f--Sphingomonadaceae(100);g--Sphingomonas(100);s--asaccharolytica(90);""","0.45750552","0.966019417","0.014165973"
"10691","2.25838926","0.00795785","c--Gammaproteobacteria","0.44279346","0.5954023","no","30","5","f--Xanthomonadaceae","f--Xanthomonadaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000149","62.4","30","0","0.84375","0.742857143","0.972222222","o--Xanthomonadales","0","p--Proteobacteria","0.82023011","6.24854E-4","4.82095E-4","9.77592E-4","false","0","BacV5-Otu-000149","2069","f--Xanthomonadaceae-unclassified","20146","""k--Bacteria(100);p--Proteobacteria(100);c--Gammaproteobacteria(100);o--Xanthomonadales(100);f--Xanthomonadaceae(100);f--Xanthomonadaceae-unclassified(72);f--Xanthomonadaceae-unclassified(72);""","0.30891089","0.854368932","6.99631E-4"
"10692","2.84563758","0.00664167","c--Alphaproteobacteria","0.35141509","0.27272727","no","11","5","f--Sphingomonadaceae","g--Novosphingobium","false","k--Bacteria","BacV5","BacV5-Otu-000098","16.09090909","11","0","0.859375","0.842857143","0.902777778","o--Sphingomonadales","0","p--Proteobacteria","0.73633749","0.001675647","0.00106443","0.00116917","false","0","BacV5-Otu-000098","3906","g--Novosphingobium-unclassified","7554","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Sphingomonadales(100);f--Sphingomonadaceae(100);g--Novosphingobium(75);g--Novosphingobium-unclassified(75);""","0.19277108","0.868932039","0.001290931"
"10694","1.97651007","0.00533032","c--Alphaproteobacteria","0.50594228","0.58447489","no","73","5","f--Methylobacteriaceae","g--Methylobacterium","false","k--Bacteria","BacV5","BacV5-Otu-000289","68.32876712","73","0","0.40625","0.614285714","0.152777778","o--Rhizobiales","0","p--Proteobacteria","0.86049856","2.46989E-4","7.23983E-4","3.1E-5","false","0","BacV5-Otu-000289","796","s--adhaesivum","20672","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Rhizobiales(100);f--Methylobacteriaceae(100);g--Methylobacterium(100);s--adhaesivum(100);""","0.28235028","0.388349515","3.33589E-4"
"10695","1.97986577","0.01144924","c--Leotiomycetes","0.50508475","0.41945946","no","75","5","f--Helotiales-fam-Incertae-sedis","g--Cadophora","false","k--Fungi","Ftrad","Ftrad-Otu-00062","51.81333333","75","0","0.21875","0.857142857","0.111111111","o--Helotiales","0","p--Ascomycota","0.86001918","6.27624E-4","0.028853073","5.15E-5","false","0","Ftrad-Otu-00062","5773","s--Cadophora-luteo-olivacea","36898","""k--Fungi(100);p--Ascomycota(100);c--Leotiomycetes(100);o--Helotiales(100);f--Helotiales-fam-Incertae-sedis(100);g--Cadophora(100);s--Cadophora-luteo-olivacea(100);""","0.21954802","0.398058252","0.010017436"
"10697","2.03691275","0.00994425","c--Agaricomycetes","0.49093904","0.5436853","no","70","5","f--Tricholomataceae","f--Tricholomataceae-unclassified","false","k--Fungi","Ftrad","Ftrad-Otu-00052","61.2","70","0","0.625","0.7","0.111111111","o--Agaricales","0","p--Basidiomycota","0.85186961","0.003433936","0.003180986","3.05E-5","false","0","Ftrad-Otu-00052","7199","f--Tricholomataceae-unclassified","27748","""k--Fungi(100);p--Basidiomycota(100);c--Agaricomycetes(100);o--Agaricales(100);f--Tricholomataceae(99);f--Tricholomataceae-unclassified(94);f--Tricholomataceae-unclassified(94);""","0.26608696","0.470873786","0.002158446"
"10698","1.84563758","0.0122455","c--Eurotiomycetes","0.54181818","0.507086","no","102","5","f--Aspergillaceae","g--Penicillium","false","k--Fungi","Ftrad","Ftrad-Otu-00064","63.43137255","102","0","0.265625","0.071428571","0.916666667","o--Eurotiales","0","p--Ascomycota","0.87919463","4.29878E-4","4.73E-5","0.002961875","false","0","Ftrad-Otu-00064","5521","s--Penicillium-amphipolaria","44446","""k--Fungi(100);p--Ascomycota(100);c--Eurotiomycetes(100);o--Eurotiales(100);f--Aspergillaceae(100);g--Penicillium(100);s--Penicillium-amphipolaria(100);""","0.25474447","0.427184466","0.001184831"
