ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
Ftrad_Otu_00021	0	0	0	1	2	0	0	4	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	12	3	1	0	2	11	11	52	3	16	0	16	0	5
Ftrad_Otu_00022	0	0	4	0	0	0	1	13	0	0	0	0	0	0	3	3	1	0	0	0	1	64	2	16	25	457	188	0	16	171	59	25	60	1	7	198	2	7
Ftrad_Otu_00023	0	1	14	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	1	1	28	1	124	0	17	2	0	3	22	69	30	32	5	0	14	20	0
Ftrad_Otu_00024	6	5	0	3	3	0	1	9	26	14	3	0	1	1	1	2	1	0	0	4	1	0	3	9	65	0	0	0	9	0	0	0	106	0	0	0	21	9
Ftrad_Otu_00028	310	232	57	1	43	8	1	0	0	4	109	0	4	0	1	803	4	11	0	1	0	0	1	88	16	1170	9	255	17	94	16	55	219	2	6	7	0	1163
Ftrad_Otu_00029	2	0	1	0	3	3	10	16	0	2	9	0	29	3	11	1	3	55	12	10	6	0	0	8	1	25	0	0	2	2	0	1100	1254	3	0	0	0	0
Ftrad_Otu_00030	7	0	61	1	4	16	12	24	2	4	7	4	17	8	38	31	28	8	12	14	18	809	73	577	295	364	344	477	451	340	698	555	225	509	266	233	501	482
Ftrad_Otu_00031	0	0	0	0	0	3	1	7	0	0	0	1	6	6	1	9	1	1	2	1	1	334	22	9	24	85	0	94	133	27	146	30	218	18	81	0	58	0
Ftrad_Otu_00032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	17	30	16	25	8	21	5	1	9	29	4	21	22	0	0	21
Ftrad_Otu_00033	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	0	2	36	0	34	0	1140	1	0	0	242	0	0	12	0	0	0	47	0
Ftrad_Otu_00035	3	38	126	2	1	4	1	7	38	0	15	0	0	0	2	37	2	1	0	0	1	27	80	12	0	33	100	1	54	61	0	134	46	0	332	50	35	200
Ftrad_Otu_00036	0	0	1	1	1	0	8	12	0	2	4	0	8	1	0	0	2	1	0	0	0	24	159	21	38	67	12	24	35	288	200	247	196	6	22	87	269	1
Ftrad_Otu_00037	0	0	1	0	0	0	7	12	0	0	1	0	2	1	2	0	1	0	0	0	0	146	82	84	186	101	57	0	77	139	549	49	26	447	56	93	80	173
Ftrad_Otu_00038	2	2	0	0	2	4	2	7	1	2	41	0	6	4	3	6	0	6	0	3	6	3	89	220	0	239	0	50	12	51	25	68	0	134	0	0	50	14
Ftrad_Otu_00039	2	0	1	0	0	4	1	3	3	1	0	9	7	1	5	2	1	1	2	2	1	485	2046	161	1184	289	171	61	188	648	790	20	0	457	316	603	850	319
Ftrad_Otu_00041	4	45	2	1	6	6	2	39	11	15	1	0	0	0	6	1	0	0	0	2	0	0	0	0	2	6	0	0	4	0	0	117	119	3	0	0	1	0
Ftrad_Otu_00042	2	0	0	0	0	1	1	6	1	0	0	1	4	2	2	5	0	1	3	4	8	100	38	145	138	53	210	25	353	151	137	46	168	842	72	345	918	217
Ftrad_Otu_00043	0	0	0	0	0	0	0	1	0	0	0	0	97	4	16	0	0	0	5	6	1	293	429	66	248	200	233	0	362	138	223	9	26	160	450	0	419	73
Ftrad_Otu_00044	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	3	2	1	0	84	13	7484	8	1767	0	1	8	18	49	15	0	1	0	0	0	7
Ftrad_Otu_00045	0	0	1	1	0	1	0	4	0	0	0	0	1	1	2	0	1	1	0	0	4	12	0	1926	10	4835	0	0	21	42	0	68	0	0	0	0	0	213
Ftrad_Otu_00047	6	4	13	1	2	0	1	4	0	1	2	0	0	0	0	0	0	1	0	0	0	25	18	1	12	6	19	0	34	40	49	29	340	19	0	36	15	4
Ftrad_Otu_00048	0	0	1	0	1	1	0	81	0	1	2	0	0	0	18	1	2	1	0	0	2	3	4	8	23	28	0	0	147	0	0	30	9	0	0	0	13	16
