BacV5_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
BacV5_Otu_001008	161	k__Bacteria(100);p__Acidobacteria(100);c__Acidobacteria-5(100);c__Acidobacteria-5_unclassified(100);c__Acidobacteria-5_unclassified(100);c__Acidobacteria-5_unclassified(100);c__Acidobacteria-5_unclassified(100);	k__Bacteria	p__Acidobacteria	c__Acidobacteria-5	c__Acidobacteria-5_unclassified	c__Acidobacteria-5_unclassified	c__Acidobacteria-5_unclassified	c__Acidobacteria-5_unclassified
BacV5_Otu_001009	161	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);f__Microbacteriaceae_unclassified(96);f__Microbacteriaceae_unclassified(96);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	f__Microbacteriaceae_unclassified	f__Microbacteriaceae_unclassified
BacV5_Otu_001010	161	k__Bacteria(100);p__Gemmatimonadetes(100);c__Gemmatimonadetes(100);o__Gemmatimonadales(100);f__Ellin5301(100);f__Ellin5301_unclassified(100);f__Ellin5301_unclassified(100);	k__Bacteria	p__Gemmatimonadetes	c__Gemmatimonadetes	o__Gemmatimonadales	f__Ellin5301	f__Ellin5301_unclassified	f__Ellin5301_unclassified
BacV5_Otu_001011	161	k__Bacteria(100);p__Firmicutes(100);c__Bacilli(100);o__Gemellales(100);f__Gemellaceae(100);g__Gemella(100);g__Gemella_unclassified(100);	k__Bacteria	p__Firmicutes	c__Bacilli	o__Gemellales	f__Gemellaceae	g__Gemella	g__Gemella_unclassified
BacV5_Otu_001013	160	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(80);o__Rhodospirillales(53);o__Rhodospirillales_unclassified(53);o__Rhodospirillales_unclassified(53);o__Rhodospirillales_unclassified(53);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhodospirillales	o__Rhodospirillales_unclassified	o__Rhodospirillales_unclassified	o__Rhodospirillales_unclassified
BacV5_Otu_001014	160	k__Bacteria(100);p__Firmicutes(100);c__Clostridia(100);o__Clostridiales(100);f__Clostridiaceae(100);f__Clostridiaceae_unclassified(97);f__Clostridiaceae_unclassified(97);	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	f__Clostridiaceae_unclassified	f__Clostridiaceae_unclassified
BacV5_Otu_001015	160	k__Bacteria(100);p__Bacteroidetes(100);c__Flavobacteriia(100);o__Flavobacteriales(100);f__Flavobacteriaceae(100);g__Flavobacterium(52);g__Flavobacterium_unclassified(52);	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__Flavobacterium	g__Flavobacterium_unclassified
BacV5_Otu_001016	160	k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Microbacterium(100);g__Microbacterium_unclassified(89);	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	g__Microbacterium_unclassified
BacV5_Otu_001017	159	k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);o__Rhizobiales_unclassified(86);o__Rhizobiales_unclassified(86);o__Rhizobiales_unclassified(86);	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified	o__Rhizobiales_unclassified
BacV5_Otu_001018	159	k__Bacteria(100);p__Actinobacteria(75);p__Actinobacteria_unclassified(75);p__Actinobacteria_unclassified(75);p__Actinobacteria_unclassified(75);p__Actinobacteria_unclassified(75);p__Actinobacteria_unclassified(75);	k__Bacteria	p__Actinobacteria	p__Actinobacteria_unclassified	p__Actinobacteria_unclassified	p__Actinobacteria_unclassified	p__Actinobacteria_unclassified	p__Actinobacteria_unclassified
