Ftrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Ftrad_Otu_00937	67	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Chaetothyriales(100);f__Trichomeriaceae(100);g__Trichomerium(98);g__Trichomerium_unclassified(68);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Trichomerium	g__Trichomerium_unclassified
Ftrad_Otu_00938	67	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(95);o__Tremellales(84);o__Tremellales_unclassified(84);o__Tremellales_unclassified(84);o__Tremellales_unclassified(84);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	o__Tremellales_unclassified	o__Tremellales_unclassified	o__Tremellales_unclassified
Ftrad_Otu_00939	67	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Cantharellales(100);f__Cantharellales_fam_Incertae_sedis(100);g__Sistotrema(100);s__Sistotrema_brinkmannii(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Cantharellales_fam_Incertae_sedis	g__Sistotrema	s__Sistotrema_brinkmannii
Ftrad_Otu_00940	67	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Russulales(100);f__Peniophoraceae(100);g__Peniophora(77);g__Peniophora_unclassified(77);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	g__Peniophora_unclassified
Ftrad_Otu_00941	67	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Agaricales(100);f__Psathyrellaceae(100);g__Coprinopsis(100);s__Coprinopsis_lagopus(69);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Psathyrellaceae	g__Coprinopsis	s__Coprinopsis_lagopus
Ftrad_Otu_00942	66	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Microbotryales(100);f__Ustilentylomataceae(100);g__Microbotryozyma(100);s__Microbotryozyma_sp(100);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Ustilentylomataceae	g__Microbotryozyma	s__Microbotryozyma_sp
Ftrad_Otu_00943	66	k__Fungi(100);p__Ascomycota(100);c__Eurotiomycetes(100);o__Eurotiales(100);f__Aspergillaceae(100);g__Penicillium(100);g__Penicillium_unclassified(76);	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	g__Penicillium_unclassified
Ftrad_Otu_00944	66	k__Fungi(100);k__Fungi_unclassified(76);k__Fungi_unclassified(76);k__Fungi_unclassified(76);k__Fungi_unclassified(76);k__Fungi_unclassified(76);k__Fungi_unclassified(76);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00945	66	k__Fungi(100);p__Basidiomycota(100);c__Cystobasidiomycetes(100);o__Cystobasidiomycetes_ord_Incertae_sedis(100);f__Symmetrosporaceae(100);g__Symmetrospora(100);s__Symmetrospora_gracilis(100);	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiomycetes_ord_Incertae_sedis	f__Symmetrosporaceae	g__Symmetrospora	s__Symmetrospora_gracilis
Ftrad_Otu_00946	66	k__Fungi(100);k__Fungi_unclassified(75);k__Fungi_unclassified(75);k__Fungi_unclassified(75);k__Fungi_unclassified(75);k__Fungi_unclassified(75);k__Fungi_unclassified(75);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00947	66	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);o__Tremellales_unclassified(69);o__Tremellales_unclassified(69);o__Tremellales_unclassified(69);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	o__Tremellales_unclassified	o__Tremellales_unclassified	o__Tremellales_unclassified
Ftrad_Otu_00948	66	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Auriculariales(100);f__Exidiaceae(100);g__Exidia(100);s__Exidia_glandulosa(100);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Auriculariales	f__Exidiaceae	g__Exidia	s__Exidia_glandulosa
Ftrad_Otu_00949	66	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Sordariales(93);f__Cephalothecaceae(93);f__Cephalothecaceae_unclassified(87);f__Cephalothecaceae_unclassified(87);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Cephalothecaceae	f__Cephalothecaceae_unclassified	f__Cephalothecaceae_unclassified
Ftrad_Otu_00950	66	k__Fungi(100);p__Chytridiomycota(100);c__Rhizophydiomycetes(100);o__Rhizophydiales(100);f__Alphamycetaceae(100);g__Betamyces(100);s__Betamyces_americae-meridionalis(99);	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Alphamycetaceae	g__Betamyces	s__Betamyces_americae-meridionalis
Ftrad_Otu_00951	66	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Xylariales(100);f__Diatrypaceae(100);g__Diatrype(100);g__Diatrype_unclassified(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Diatrypaceae	g__Diatrype	g__Diatrype_unclassified
Ftrad_Otu_00952	66	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);f__Dermateaceae(100);g__Oculimacula(100);s__Oculimacula_yallundae(100);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Oculimacula	s__Oculimacula_yallundae
Ftrad_Otu_00953	66	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00954	66	k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Corticiales(100);f__Vuilleminiaceae(100);g__Vuilleminia(100);s__Vuilleminia_sp(99);	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Corticiales	f__Vuilleminiaceae	g__Vuilleminia	s__Vuilleminia_sp
Ftrad_Otu_00955	65	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Cystofilobasidiaceae(100);g__Cystofilobasidium(100);s__Cystofilobasidium_macerans(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__Cystofilobasidium_macerans
Ftrad_Otu_00956	65	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	o__Helotiales_unclassified	o__Helotiales_unclassified	o__Helotiales_unclassified
Ftrad_Otu_00958	65	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(79);g__Bullera(79);s__Bullera_crocea(79);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00959	65	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(96);f__Filobasidiaceae(96);g__Naganishia(96);s__Naganishia_globosa(96);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Naganishia	s__Naganishia_globosa
Ftrad_Otu_00960	65	k__Fungi(100);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);k__Fungi_unclassified(99);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00962	64	k__Fungi(100);p__Ascomycota(100);c__Sordariomycetes(100);o__Chaetosphaeriales(100);f__Chaetosphaeriaceae(100);g__Chloridium(100);s__Chloridium_sp(100);	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Chaetosphaeriales	f__Chaetosphaeriaceae	g__Chloridium	s__Chloridium_sp
Ftrad_Otu_00963	64	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
