Otrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Otrad_Otu_00087	1022	k__Fungi;p__Basidiomycota;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;	k__Fungi	p__Basidiomycota	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified
Otrad_Otu_00088	1006	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00089	972	k__Fungi;p__Chytridiomycota;c__Spizellomycetes;o__Spizellomycetales;f__unclassified_Spizellomycetales;g__unclassified_Spizellomycetales;s__Spizellomycetales_sp;	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__unclassified_Spizellomycetales	g__unclassified_Spizellomycetales	s__Spizellomycetales_sp
Otrad_Otu_00090	966	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;g__Hyaloperonospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	g__Hyaloperonospora_unclassified
Otrad_Otu_00091	918	k__Viridiplantae;p__Chlorophyta;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;f__Incertae_sedis_unclassified;f__Incertae_sedis_unclassified;	k__Viridiplantae	p__Chlorophyta	c__Incertae_sedis	o__Incertae_sedis	f__Incertae_sedis	f__Incertae_sedis_unclassified	f__Incertae_sedis_unclassified
Otrad_Otu_00092	877	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorosarcinaceae;g__Desmotetra;s__Desmotetra_sp;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlorosarcinaceae	g__Desmotetra	s__Desmotetra_sp
Otrad_Otu_00094	812	k__Fungi;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Otrad_Otu_00095	812	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00098	785	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00099	763	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Filobasidiaceae;g__Filobasidium;s__Filobasidium_stepposum;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	s__Filobasidium_stepposum
Otrad_Otu_00102	702	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00103	694	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00105	677	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodotorula;g__Rhodotorula_unclassified;	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	g__Rhodotorula_unclassified
Otrad_Otu_00107	630	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_tulasnei;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Bremia	s__Bremia_tulasnei
Otrad_Otu_00108	577	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_farinosa_subf._betae;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_farinosa_subf._betae
Otrad_Otu_00110	563	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;f__Pythiaceae_unclassified;f__Pythiaceae_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	f__Pythiaceae_unclassified	f__Pythiaceae_unclassified
Otrad_Otu_00111	549	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;s__Itersonilia_pannonica;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Itersonilia	s__Itersonilia_pannonica
Otrad_Otu_00112	537	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00114	532	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiaceae;f__Rhizophydiaceae_unclassified;f__Rhizophydiaceae_unclassified;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Rhizophydiaceae	f__Rhizophydiaceae_unclassified	f__Rhizophydiaceae_unclassified
Otrad_Otu_00117	505	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_ranunculi;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_ranunculi
Otrad_Otu_00122	453	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__unclassified_Archaeosporales;g__unclassified_Archaeosporales;s__Archaeosporales_sp;	k__Fungi	p__Glomeromycota	c__Archaeosporomycetes	o__Archaeosporales	f__unclassified_Archaeosporales	g__unclassified_Archaeosporales	s__Archaeosporales_sp
Otrad_Otu_00126	437	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;g__Hyaloperonospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	g__Hyaloperonospora_unclassified
Otrad_Otu_00127	434	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00132	418	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00140	366	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__unclassified_Entylomatales;g__unclassified_Entylomatales;s__Entylomatales_sp;	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Entylomatales	f__unclassified_Entylomatales	g__unclassified_Entylomatales	s__Entylomatales_sp
Otrad_Otu_00143	341	k__Viridiplantae;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;	k__Viridiplantae	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified
Otrad_Otu_00146	331	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00147	329	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00148	325	k__Fungi;p__Basidiomycota;c__Agaricomycetes;c__Agaricomycetes_unclassified;c__Agaricomycetes_unclassified;c__Agaricomycetes_unclassified;c__Agaricomycetes_unclassified;	k__Fungi	p__Basidiomycota	c__Agaricomycetes	c__Agaricomycetes_unclassified	c__Agaricomycetes_unclassified	c__Agaricomycetes_unclassified	c__Agaricomycetes_unclassified
Otrad_Otu_00151	306	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__unclassified_Mortierellales;g__unclassified_Mortierellales;s__Mortierellales_sp;	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__unclassified_Mortierellales	g__unclassified_Mortierellales	s__Mortierellales_sp
Otrad_Otu_00152	305	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Neophaeosphaeria;s__Neophaeosphaeria_conglomerata;	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Neophaeosphaeria	s__Neophaeosphaeria_conglomerata
Otrad_Otu_00155	294	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00156	291	k__Fungi;p__Basidiomycota;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;p__Basidiomycota_unclassified;	k__Fungi	p__Basidiomycota	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified	p__Basidiomycota_unclassified
Otrad_Otu_00157	290	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_trifolii-minoris;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_trifolii-minoris
Otrad_Otu_00161	264	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_trifoliorum;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_trifoliorum
Otrad_Otu_00163	260	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Saprolegniales	f__Saprolegniaceae	g__Saprolegnia	s__Saprolegnia_sp
Otrad_Otu_00164	259	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_parva;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_parva
Otrad_Otu_00166	255	k__Metazoa;p__Arthropoda;c__Insecta;o__Diptera;f__unclassified_Diptera;g__unclassified_Diptera;s__Diptera_sp;	k__Metazoa	p__Arthropoda	c__Insecta	o__Diptera	f__unclassified_Diptera	g__unclassified_Diptera	s__Diptera_sp
Otrad_Otu_00171	243	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;g__Itersonilia_unclassified;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Itersonilia	g__Itersonilia_unclassified
Otrad_Otu_00172	241	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;o__Chlamydomonadales_unclassified;o__Chlamydomonadales_unclassified;o__Chlamydomonadales_unclassified;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	o__Chlamydomonadales_unclassified	o__Chlamydomonadales_unclassified	o__Chlamydomonadales_unclassified
Otrad_Otu_00173	235	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00176	231	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00179	216	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Tetracystis;s__Tetracystis_vinatzeri;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlorococcaceae	g__Tetracystis	s__Tetracystis_vinatzeri
Otrad_Otu_00180	216	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_arborescens;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_arborescens
Otrad_Otu_00181	212	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Sporidiobolus;s__Sporidiobolus_metaroseus;	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporidiobolus	s__Sporidiobolus_metaroseus
Otrad_Otu_00183	203	k__Fungi;p__Chytridiomycota;c__Chytridiomycetes;o__Chytridiales;f__unclassified_Chytridiales;g__unclassified_Chytridiales;s__Chytridiales_sp;	k__Fungi	p__Chytridiomycota	c__Chytridiomycetes	o__Chytridiales	f__unclassified_Chytridiales	g__unclassified_Chytridiales	s__Chytridiales_sp
Otrad_Otu_00184	196	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00185	196	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00186	191	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00188	190	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Diasporangium;s__Diasporangium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Diasporangium	s__Diasporangium_sp
Otrad_Otu_00189	188	k__Viridiplantae;p__Chlorophyta;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Chlamydomonas;s__Chlamydomonas_hedleyi;	k__Viridiplantae	p__Chlorophyta	c__Incertae_sedis	o__Incertae_sedis	f__Incertae_sedis	g__Chlamydomonas	s__Chlamydomonas_hedleyi
Otrad_Otu_00191	186	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Sporidiobolales;f__Sporidiobolaceae;g__Rhodosporidiobolus;s__Rhodosporidiobolus_azoricus;	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodosporidiobolus	s__Rhodosporidiobolus_azoricus
Otrad_Otu_00193	184	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Acidea;s__Acidea_extrema;	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Acidea	s__Acidea_extrema
Otrad_Otu_00194	181	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00196	177	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_brassicae;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_brassicae
Otrad_Otu_00198	174	k__Stramenopila;p__Oomycota;c__Oomycetes;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified
Otrad_Otu_00200	169	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;f__Pythiaceae_unclassified;f__Pythiaceae_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	f__Pythiaceae_unclassified	f__Pythiaceae_unclassified
Otrad_Otu_00201	168	k__Stramenopila;p__Ochrophyta;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;	k__Stramenopila	p__Ochrophyta	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified
Otrad_Otu_00203	168	k__Stramenopila;p__Oomycota;c__Oomycetes;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;c__Oomycetes_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified	c__Oomycetes_unclassified
Otrad_Otu_00204	167	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Cystobasidiomycetes_ord_Incertae_sedis;f__Symmetrosporaceae;g__Symmetrospora;s__Symmetrospora_coprosmae;	k__Fungi	p__Basidiomycota	c__Cystobasidiomycetes	o__Cystobasidiomycetes_ord_Incertae_sedis	f__Symmetrosporaceae	g__Symmetrospora	s__Symmetrospora_coprosmae
Otrad_Otu_00207	163	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Schizoporaceae;g__Xylodon;s__Xylodon_sambuci;	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Schizoporaceae	g__Xylodon	s__Xylodon_sambuci
Otrad_Otu_00209	160	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00210	160	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00212	158	k__Fungi;p__Ascomycota;c__Neolectomycetes;o__Neolectales;f__unclassified_Neolectales;g__unclassified_Neolectales;s__Neolectales_sp;	k__Fungi	p__Ascomycota	c__Neolectomycetes	o__Neolectales	f__unclassified_Neolectales	g__unclassified_Neolectales	s__Neolectales_sp
Otrad_Otu_00213	158	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Protosiphonaceae;g__Protosiphon;s__Protosiphon_botryoides;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Protosiphonaceae	g__Protosiphon	s__Protosiphon_botryoides
Otrad_Otu_00215	155	k__Stramenopila;p__Ochrophyta;c__Chrysophyceae;o__Chromulinales;f__Chromulinaceae;g__Pedospumella;s__Pedospumella_sp;	k__Stramenopila	p__Ochrophyta	c__Chrysophyceae	o__Chromulinales	f__Chromulinaceae	g__Pedospumella	s__Pedospumella_sp
Otrad_Otu_00217	152	k__Stramenopila;p__Ochrophyta;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;p__Ochrophyta_unclassified;	k__Stramenopila	p__Ochrophyta	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified	p__Ochrophyta_unclassified
Otrad_Otu_00218	149	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00221	146	k__Viridiplantae;p__Chlorophyta;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Chlamydomonas;s__Chlamydomonas_bacca;	k__Viridiplantae	p__Chlorophyta	c__Incertae_sedis	o__Incertae_sedis	f__Incertae_sedis	g__Chlamydomonas	s__Chlamydomonas_bacca
Otrad_Otu_00223	144	k__Stramenopila;p__Oomycota;p__Oomycota_unclassified;p__Oomycota_unclassified;p__Oomycota_unclassified;p__Oomycota_unclassified;p__Oomycota_unclassified;	k__Stramenopila	p__Oomycota	p__Oomycota_unclassified	p__Oomycota_unclassified	p__Oomycota_unclassified	p__Oomycota_unclassified	p__Oomycota_unclassified
Otrad_Otu_00226	139	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__Rhizophydiaceae;g__Rhizophydium;s__Rhizophydium_collapsum;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__Rhizophydiaceae	g__Rhizophydium	s__Rhizophydium_collapsum
Otrad_Otu_00227	138	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chaetopeltidales;f__Chaetopeltidaceae;g__Planophila;s__Planophila_laetevirens;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chaetopeltidales	f__Chaetopeltidaceae	g__Planophila	s__Planophila_laetevirens
Otrad_Otu_00229	136	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00232	131	k__Alveolata;p__Ciliophora;p__Ciliophora_unclassified;p__Ciliophora_unclassified;p__Ciliophora_unclassified;p__Ciliophora_unclassified;p__Ciliophora_unclassified;	k__Alveolata	p__Ciliophora	p__Ciliophora_unclassified	p__Ciliophora_unclassified	p__Ciliophora_unclassified	p__Ciliophora_unclassified	p__Ciliophora_unclassified
Otrad_Otu_00236	127	k__Viridiplantae;p__Chlorophyta;c__Nephroselmidophyceae;o__Nephroselmidales;f__Nephroselmidaceae;g__Nephroselmis;s__Nephroselmis_pyriformis;	k__Viridiplantae	p__Chlorophyta	c__Nephroselmidophyceae	o__Nephroselmidales	f__Nephroselmidaceae	g__Nephroselmis	s__Nephroselmis_pyriformis
Otrad_Otu_00240	119	k__Viridiplantae;p__Chlorophyta;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Stichococcus;s__Stichococcus_bacillaris;	k__Viridiplantae	p__Chlorophyta	c__Incertae_sedis	o__Incertae_sedis	f__Incertae_sedis	g__Stichococcus	s__Stichococcus_bacillaris
Otrad_Otu_00244	117	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00247	116	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_debaryanum;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_debaryanum
Otrad_Otu_00251	114	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Udeniomyces;s__Udeniomyces_pyricola;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Udeniomyces	s__Udeniomyces_pyricola
Otrad_Otu_00256	109	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;g__Hyaloperonospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	g__Hyaloperonospora_unclassified
Otrad_Otu_00260	107	k__Viridiplantae;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;	k__Viridiplantae	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified
