Otrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Otrad_Otu_00368	55	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo;s__Albugo_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Albuginales	f__Albuginaceae	g__Albugo	s__Albugo_sp
Otrad_Otu_00373	54	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium;s__Leucosporidium_intermedium;	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	s__Leucosporidium_intermedium
Otrad_Otu_00375	54	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Derxomyces;s__Derxomyces_linzhiensis;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Derxomyces	s__Derxomyces_linzhiensis
Otrad_Otu_00378	53	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Actinochloridaceae;g__Deasonia;s__Deasonia_granata;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Actinochloridaceae	g__Deasonia	s__Deasonia_granata
Otrad_Otu_00380	52	k__Viridiplantae;p__Chlorophyta;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Chlamydomonas;g__Chlamydomonas_unclassified;	k__Viridiplantae	p__Chlorophyta	c__Incertae_sedis	o__Incertae_sedis	f__Incertae_sedis	g__Chlamydomonas	g__Chlamydomonas_unclassified
Otrad_Otu_00381	52	k__Viridiplantae;p__Chlorophyta;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;p__Chlorophyta_unclassified;	k__Viridiplantae	p__Chlorophyta	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified	p__Chlorophyta_unclassified
Otrad_Otu_00382	52	k__Viridiplantae;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;k__Viridiplantae_unclassified;	k__Viridiplantae	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified	k__Viridiplantae_unclassified
Otrad_Otu_00383	52	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00384	52	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__Leucosporidiales;f__Leucosporidiaceae;g__Leucosporidium;s__Leucosporidium_sp;	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	s__Leucosporidium_sp
Otrad_Otu_00387	51	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00388	51	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Itersonilia;s__Itersonilia_pannonica;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Itersonilia	s__Itersonilia_pannonica
