Node1,Node2,binarycorrelation,Correlation
nov_BacV5_Otu_000117,dec_BacV5_Otu_000117,linkeredge,no_info
nov_BacV5_Otu_000161,dec_BacV5_Otu_000161,linkeredge,no_info
nov_BacV5_Otu_000199,dec_BacV5_Otu_000199,linkeredge,no_info
nov_BacV5_Otu_000211,dec_BacV5_Otu_000211,linkeredge,no_info
nov_BacV5_Otu_000236,dec_BacV5_Otu_000236,linkeredge,no_info
nov_BacV5_Otu_000243,dec_BacV5_Otu_000243,linkeredge,no_info
nov_BacV5_Otu_000250,dec_BacV5_Otu_000250,linkeredge,no_info
nov_BacV5_Otu_000251,dec_BacV5_Otu_000251,linkeredge,no_info
nov_BacV5_Otu_000309,dec_BacV5_Otu_000309,linkeredge,no_info
nov_BacV5_Otu_000424,dec_BacV5_Otu_000424,linkeredge,no_info
nov_BacV5_Otu_000498,dec_BacV5_Otu_000498,linkeredge,no_info
nov_Ftrad_Otu_00003,dec_Ftrad_Otu_00003,linkeredge,no_info
nov_Ftrad_Otu_00004,dec_Ftrad_Otu_00004,linkeredge,no_info
nov_Ftrad_Otu_00005,dec_Ftrad_Otu_00005,linkeredge,no_info
nov_Ftrad_Otu_00006,dec_Ftrad_Otu_00006,linkeredge,no_info
nov_Ftrad_Otu_00008,dec_Ftrad_Otu_00008,linkeredge,no_info
nov_Ftrad_Otu_00012,dec_Ftrad_Otu_00012,linkeredge,no_info
nov_Ftrad_Otu_00013,dec_Ftrad_Otu_00013,linkeredge,no_info
nov_Ftrad_Otu_00030,dec_Ftrad_Otu_00030,linkeredge,no_info
nov_Ftrad_Otu_00037,dec_Ftrad_Otu_00037,linkeredge,no_info
nov_Ftrad_Otu_00042,dec_Ftrad_Otu_00042,linkeredge,no_info
nov_Ftrad_Otu_00051,dec_Ftrad_Otu_00051,linkeredge,no_info
nov_Ftrad_Otu_00064,dec_Ftrad_Otu_00064,linkeredge,no_info
nov_Ftrad_Otu_00080,dec_Ftrad_Otu_00080,linkeredge,no_info
nov_Ftrad_Otu_00088,dec_Ftrad_Otu_00088,linkeredge,no_info
nov_Ftrad_Otu_00099,dec_Ftrad_Otu_00099,linkeredge,no_info
nov_Ftrad_Otu_00131,dec_Ftrad_Otu_00131,linkeredge,no_info
nov_Ftrad_Otu_00134,dec_Ftrad_Otu_00134,linkeredge,no_info
nov_Ftrad_Otu_00136,dec_Ftrad_Otu_00136,linkeredge,no_info
nov_Ftrad_Otu_00202,dec_Ftrad_Otu_00202,linkeredge,no_info
nov_Ftrad_Otu_00233,dec_Ftrad_Otu_00233,linkeredge,no_info
nov_BacV5_Otu_000027,dec_BacV5_Otu_000027,linkeredge,no_info
nov_BacV5_Otu_000033,dec_BacV5_Otu_000033,linkeredge,no_info
nov_BacV5_Otu_000043,dec_BacV5_Otu_000043,linkeredge,no_info
nov_BacV5_Otu_000045,dec_BacV5_Otu_000045,linkeredge,no_info
nov_BacV5_Otu_000122,dec_BacV5_Otu_000122,linkeredge,no_info
nov_BacV5_Otu_000130,dec_BacV5_Otu_000130,linkeredge,no_info
nov_BacV5_Otu_000144,dec_BacV5_Otu_000144,linkeredge,no_info
nov_Ftrad_Otu_00024,dec_Ftrad_Otu_00024,linkeredge,no_info
nov_BacV5_Otu_000097,dec_BacV5_Otu_000097,linkeredge,no_info
nov_BacV5_Otu_000105,dec_BacV5_Otu_000105,linkeredge,no_info
nov_BacV5_Otu_000132,dec_BacV5_Otu_000132,linkeredge,no_info
nov_BacV5_Otu_000133,dec_BacV5_Otu_000133,linkeredge,no_info
nov_BacV5_Otu_000147,dec_BacV5_Otu_000147,linkeredge,no_info
nov_BacV5_Otu_000167,dec_BacV5_Otu_000167,linkeredge,no_info
nov_BacV5_Otu_000189,dec_BacV5_Otu_000189,linkeredge,no_info
nov_BacV5_Otu_000241,dec_BacV5_Otu_000241,linkeredge,no_info
nov_BacV5_Otu_000301,dec_BacV5_Otu_000301,linkeredge,no_info
nov_Ftrad_Otu_00029,dec_Ftrad_Otu_00029,linkeredge,no_info
nov_Ftrad_Otu_00087,dec_Ftrad_Otu_00087,linkeredge,no_info
nov_Ftrad_Otu_00125,dec_Ftrad_Otu_00125,linkeredge,no_info
nov_BacV5_Otu_000022,dec_BacV5_Otu_000022,linkeredge,no_info
nov_BacV5_Otu_000044,dec_BacV5_Otu_000044,linkeredge,no_info
nov_BacV5_Otu_000062,dec_BacV5_Otu_000062,linkeredge,no_info
nov_BacV5_Otu_000063,dec_BacV5_Otu_000063,linkeredge,no_info
nov_BacV5_Otu_000083,dec_BacV5_Otu_000083,linkeredge,no_info
nov_BacV5_Otu_000170,dec_BacV5_Otu_000170,linkeredge,no_info
nov_BacV5_Otu_000284,dec_BacV5_Otu_000284,linkeredge,no_info
nov_BacV5_Otu_000305,dec_BacV5_Otu_000305,linkeredge,no_info
nov_Ftrad_Otu_00011,dec_Ftrad_Otu_00011,linkeredge,no_info
nov_Ftrad_Otu_00018,dec_Ftrad_Otu_00018,linkeredge,no_info
nov_Ftrad_Otu_00022,dec_Ftrad_Otu_00022,linkeredge,no_info
