"SUID","0.001_ 1_corsparcc.txt_present","0.001_ 2_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"51692","false","true","0.5000000000000001","1.0000000000000002","2","Otrad_Otu_00042","false","Otrad_Otu_00042"
"51693","false","true","0.5","0.5","1","Otrad_Otu_00004","false","Otrad_Otu_00004"
"51694","false","true","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00219","false","Ftrad_Otu_00219"
"51695","false","true","0.49999999999999994","1.4999999999999998","3","Ftrad_Otu_00234","false","Ftrad_Otu_00234"
"51696","false","true","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00287","false","Ftrad_Otu_00287"
"51697","false","true","0.5000000000000001","1.0000000000000002","2","BacV5_Otu_000259","false","BacV5_Otu_000259"
"51698","false","true","0.5","0.5","1","Ftrad_Otu_00157","false","Ftrad_Otu_00157"
"51699","false","true","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00232","false","Ftrad_Otu_00232"
"51700","false","true","0.49999999999999994","1.4999999999999998","3","Ftrad_Otu_00089","false","Ftrad_Otu_00089"
"51701","false","true","0.5000000000000001","1.0000000000000002","2","BacV5_Otu_000178","false","BacV5_Otu_000178"
"51702","false","true","0.49999999999999994","1.4999999999999998","3","Ftrad_Otu_00165","false","Ftrad_Otu_00165"
"51703","false","true","0.49999999999999994","1.4999999999999998","3","Ftrad_Otu_00384","false","Ftrad_Otu_00384"
"51704","false","true","0.5","0.5","1","BacV5_Otu_000128","false","BacV5_Otu_000128"
"51705","false","true","0.5","2.0","4","Ftrad_Otu_00119","false","Ftrad_Otu_00119"
"51706","false","true","0.5","0.5","1","Ftrad_Otu_00380","false","Ftrad_Otu_00380"
"51707","false","true","0.5","4.5","9","BacV5_Otu_000242","false","BacV5_Otu_000242"
"51708","false","true","0.5000000000000001","2.5000000000000004","5","BacV5_Otu_000205","false","BacV5_Otu_000205"
"51709","false","true","0.49999999999999994","1.4999999999999998","3","BacV5_Otu_000202","false","BacV5_Otu_000202"
