"SUID","0.001_ 11_corsparcc.txt_present","0.001_ 12_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"143699","true","false","0.4999999999999999","18.999999999999996","38","BacV5_Otu_000283","false","BacV5_Otu_000283"
"143700","true","false","0.5000000000000001","41.00000000000001","82","BacV5_Otu_000290","false","BacV5_Otu_000290"
"143701","true","false","0.5","51.5","103","BacV5_Otu_000347","false","BacV5_Otu_000347"
"143702","true","false","0.49999999999999994","47.99999999999999","96","BacV5_Otu_000348","false","BacV5_Otu_000348"
"143703","true","true","0.4487179487179487","52.49999999999999","117","BacV5_Otu_000368","false","BacV5_Otu_000368"
"143704","true","false","0.5","50.5","101","BacV5_Otu_000378","false","BacV5_Otu_000378"
"143705","true","false","0.49999999999999994","50.99999999999999","102","BacV5_Otu_000408","false","BacV5_Otu_000408"
"143706","true","false","0.5000000000000001","37.50000000000001","75","BacV5_Otu_000455","false","BacV5_Otu_000455"
"143707","true","false","0.4999999999999999","35.99999999999999","72","BacV5_Otu_000554","false","BacV5_Otu_000554"
"143708","true","false","0.5","19.5","39","BacV5_Otu_000560","false","BacV5_Otu_000560"
"143709","true","false","0.5000000000000001","61.50000000000001","123","BacV5_Otu_000609","false","BacV5_Otu_000609"
"143710","true","false","0.5000000000000001","43.50000000000001","87","BacV5_Otu_000636","false","BacV5_Otu_000636"
"143711","true","false","0.5","55.0","110","BacV5_Otu_000714","false","BacV5_Otu_000714"
"143712","true","false","0.5000000000000001","43.50000000000001","87","BacV5_Otu_000787","false","BacV5_Otu_000787"
"143713","true","true","0.4539877300613496","73.99999999999999","163","Ftrad_Otu_00001","false","Ftrad_Otu_00001"
"143714","true","true","0.4388489208633094","61.00000000000001","139","Ftrad_Otu_00002","false","Ftrad_Otu_00002"
"143715","true","true","0.4513888888888889","65.0","144","Ftrad_Otu_00007","false","Ftrad_Otu_00007"
"143716","true","true","0.4857142857142857","34.0","70","Ftrad_Otu_00019","false","Ftrad_Otu_00019"
"143717","true","true","0.4707792207792208","72.5","154","Ftrad_Otu_00039","false","Ftrad_Otu_00039"
"143718","true","true","0.44785276073619634","73.0","163","Ftrad_Otu_00041","false","Ftrad_Otu_00041"
"143719","true","true","0.4586466165413534","61.00000000000001","133","Ftrad_Otu_00043","false","Ftrad_Otu_00043"
"143720","true","true","0.4805194805194804","73.99999999999999","154","Ftrad_Otu_00078","false","Ftrad_Otu_00078"
"143721","true","true","0.48484848484848486","32.0","66","Ftrad_Otu_00090","false","Ftrad_Otu_00090"
"143722","true","true","0.453125","72.5","160","Ftrad_Otu_00142","false","Ftrad_Otu_00142"
