"SUID","0.001_ 12_corsparcc.txt(1)_present","0.001_ 1_corsparcc.txt_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"103580","true","true","0.47126436781609204","41.00000000000001","87","BacV5_Otu_000053","false","BacV5_Otu_000053"
"103581","true","true","0.4666666666666667","35.0","75","BacV5_Otu_000134","false","BacV5_Otu_000134"
"103582","true","true","0.4785714285714286","33.5","70","BacV5_Otu_000213","false","BacV5_Otu_000213"
"103583","true","false","0.49999999999999994","2.9999999999999996","6","Ftrad_Otu_00231","false","Ftrad_Otu_00231"
"103584","true","true","0.49411764705882355","42.0","85","BacV5_Otu_000055","false","BacV5_Otu_000055"
"103585","true","true","0.4866071428571429","54.50000000000001","112","BacV5_Otu_000056","false","BacV5_Otu_000056"
"103586","true","true","0.46206896551724136","67.0","145","BacV5_Otu_000096","false","BacV5_Otu_000096"
"103587","true","true","0.46774193548387105","29.000000000000004","62","BacV5_Otu_000104","false","BacV5_Otu_000104"
"103588","true","true","0.47328244274809156","61.99999999999999","131","BacV5_Otu_000127","false","BacV5_Otu_000127"
"103589","true","true","0.4891304347826087","45.0","92","Ftrad_Otu_00092","false","Ftrad_Otu_00092"
"103590","true","false","0.49999999999999994","5.999999999999999","12","Ftrad_Otu_00480","false","Ftrad_Otu_00480"
"103591","true","true","0.41025641025641035","16.000000000000004","39","BacV5_Otu_000169","false","BacV5_Otu_000169"
"103592","true","false","0.5000000000000001","9.500000000000002","19","BacV5_Otu_000207","false","BacV5_Otu_000207"
"103593","true","true","0.4791666666666666","45.99999999999999","96","Ftrad_Otu_00056","false","Ftrad_Otu_00056"
"103594","true","false","0.5000000000000001","10.000000000000002","20","Ftrad_Otu_00202","false","Ftrad_Otu_00202"
"103595","true","true","0.5","11.0","22","BacV5_Otu_000060","false","BacV5_Otu_000060"
"103596","true","true","0.4814814814814814","12.999999999999998","27","BacV5_Otu_000160","false","BacV5_Otu_000160"
"103597","true","false","0.5000000000000001","2.5000000000000004","5","Ftrad_Otu_00241","false","Ftrad_Otu_00241"
"103598","true","false","0.5000000000000001","4.000000000000001","8","BacV5_Otu_000295","false","BacV5_Otu_000295"
"103599","true","true","0.4714285714285714","16.5","35","BacV5_Otu_000100","false","BacV5_Otu_000100"
"103600","true","true","0.5","12.5","25","BacV5_Otu_000130","false","BacV5_Otu_000130"
"103601","true","true","0.44117647058823534","22.500000000000004","51","BacV5_Otu_000131","false","BacV5_Otu_000131"
"103602","true","true","0.5000000000000001","9.500000000000002","19","BacV5_Otu_000141","false","BacV5_Otu_000141"
"103603","true","false","0.5","13.5","27","BacV5_Otu_000210","false","BacV5_Otu_000210"
"103604","true","true","0.5","8.5","17","BacV5_Otu_000230","false","BacV5_Otu_000230"
"103605","true","false","0.49999999999999994","6.499999999999999","13","BacV5_Otu_000238","false","BacV5_Otu_000238"
"103606","true","false","0.5","13.5","27","BacV5_Otu_000267","false","BacV5_Otu_000267"
"103607","true","false","0.5000000000000001","9.500000000000002","19","BacV5_Otu_000317","false","BacV5_Otu_000317"
"103608","true","false","0.49999999999999994","6.499999999999999","13","BacV5_Otu_000322","false","BacV5_Otu_000322"
"103609","true","false","0.5","7.0","14","BacV5_Otu_000333","false","BacV5_Otu_000333"
"103610","true","false","0.4999999999999999","8.999999999999998","18","Ftrad_Otu_00144","false","Ftrad_Otu_00144"
"103611","true","true","0.4638554216867471","38.50000000000001","83","BacV5_Otu_000068","false","BacV5_Otu_000068"
"103612","true","false","0.49999999999999994","12.999999999999998","26","BacV5_Otu_000498","false","BacV5_Otu_000498"
"103613","true","true","0.4871794871794873","38.00000000000001","78","Ftrad_Otu_00176","false","Ftrad_Otu_00176"
"103614","true","false","0.5000000000000001","14.000000000000002","28","BacV5_Otu_000277","false","BacV5_Otu_000277"
"103615","true","false","0.5","10.5","21","Ftrad_Otu_00189","false","Ftrad_Otu_00189"
"103616","true","false","0.5","2.0","4","BacV5_Otu_000433","false","BacV5_Otu_000433"
"103617","true","false","0.5","2.0","4","BacV5_Otu_000204","false","BacV5_Otu_000204"
"103618","true","true","0.4999999999999999","18.499999999999996","37","Ftrad_Otu_00090","false","Ftrad_Otu_00090"
"103619","true","false","0.49999999999999994","12.999999999999998","26","Ftrad_Otu_00281","false","Ftrad_Otu_00281"
"103620","true","false","0.5000000000000001","2.5000000000000004","5","Ftrad_Otu_00166","false","Ftrad_Otu_00166"
"103621","true","true","0.4811320754716982","25.500000000000004","53","Otrad_Otu_00003","false","Otrad_Otu_00003"
"103622","true","true","0.496268656716418","66.50000000000001","134","BacV5_Otu_000293","false","BacV5_Otu_000293"
"103623","true","true","0.4791666666666666","11.499999999999998","24","BacV5_Otu_000144","false","BacV5_Otu_000144"
"103624","true","false","0.5000000000000001","3.5000000000000004","7","BacV5_Otu_000379","false","BacV5_Otu_000379"
"103625","true","false","0.5000000000000001","4.000000000000001","8","BacV5_Otu_000321","false","BacV5_Otu_000321"
"103626","true","false","0.5000000000000001","2.5000000000000004","5","BacV5_Otu_000244","false","BacV5_Otu_000244"
"103627","true","false","0.5000000000000001","3.5000000000000004","7","BacV5_Otu_000228","false","BacV5_Otu_000228"
"103628","true","false","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00268","false","Ftrad_Otu_00268"
"103629","true","false","0.5","7.0","14","Ftrad_Otu_00276","false","Ftrad_Otu_00276"
"103630","true","false","0.49999999999999994","2.9999999999999996","6","BacV5_Otu_000189","false","BacV5_Otu_000189"
"103631","true","true","0.4318181818181819","9.500000000000002","22","BacV5_Otu_000260","false","BacV5_Otu_000260"
"103632","true","false","0.5","8.0","16","BacV5_Otu_000299","false","BacV5_Otu_000299"
"103633","true","false","0.49999999999999994","2.9999999999999996","6","Ftrad_Otu_00126","false","Ftrad_Otu_00126"
"103634","true","false","0.49999999999999994","1.4999999999999998","3","BacV5_Otu_000250","false","BacV5_Otu_000250"
"103635","true","true","0.5000000000000001","38.50000000000001","77","Ftrad_Otu_00129","false","Ftrad_Otu_00129"
"103636","true","true","0.49375","39.5","80","Ftrad_Otu_00014","false","Ftrad_Otu_00014"
"103637","true","false","0.5000000000000001","1.0000000000000002","2","Ftrad_Otu_00119","false","Ftrad_Otu_00119"
"103638","true","false","0.49999999999999994","2.9999999999999996","6","BacV5_Otu_000323","false","BacV5_Otu_000323"
"103639","true","true","0.4854368932038835","50.0","103","Ftrad_Otu_00131","false","Ftrad_Otu_00131"
"103640","true","true","0.4895833333333334","47.00000000000001","96","Ftrad_Otu_00045","false","Ftrad_Otu_00045"
"103641","true","false","0.5","2.0","4","BacV5_Otu_000288","false","BacV5_Otu_000288"
