"SUID","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","0.001_ 3_corsparcc.txt(1)_Cor","0.001_ 3_corsparcc.txt(1)_name","0.001_ 3_corsparcc.txt(1)_present","0.001_ 3_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"45639","0.355505452017","Ftrad_Otu_00095 (interacts with) BacV5_Otu_000259","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00095 (interacts with) BacV5_Otu_000259","false","interacts with","Ftrad_Otu_00095 (interacts with) BacV5_Otu_000259"
"45640","-0.406766318143","Ftrad_Otu_00157 (interacts with) BacV5_Otu_000203","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00157 (interacts with) BacV5_Otu_000203","false","interacts with","Ftrad_Otu_00157 (interacts with) BacV5_Otu_000203"
"45641","0.44444516047","Ftrad_Otu_00232 (interacts with) Ftrad_Otu_00001","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00232 (interacts with) Ftrad_Otu_00001","false","interacts with","Ftrad_Otu_00232 (interacts with) Ftrad_Otu_00001"
"45642","-0.471969604554","Ftrad_Otu_00232 (interacts with) BacV5_Otu_000202","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00232 (interacts with) BacV5_Otu_000202","false","interacts with","Ftrad_Otu_00232 (interacts with) BacV5_Otu_000202"
"45643","0.562986293093","Ftrad_Otu_00013 (interacts with) Ftrad_Otu_00002","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00013 (interacts with) Ftrad_Otu_00002","false","interacts with","Ftrad_Otu_00013 (interacts with) Ftrad_Otu_00002"
"45644","-0.47085959787","Ftrad_Otu_00013 (interacts with) BacV5_Otu_000196","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00013 (interacts with) BacV5_Otu_000196","false","interacts with","Ftrad_Otu_00013 (interacts with) BacV5_Otu_000196"
"45645","0.464975419982","BacV5_Otu_000179 (interacts with) BacV5_Otu_000159","true","0.0","0.598712440685","BacV5_Otu_000179 (interacts with) BacV5_Otu_000159","true","0.0","0.0","interacts with","BacV5_Otu_000179 (interacts with) BacV5_Otu_000159","false","interacts with","BacV5_Otu_000179 (interacts with) BacV5_Otu_000159"
"45646","0.472770156392","Ftrad_Otu_00089 (interacts with) Ftrad_Otu_00067","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00089 (interacts with) Ftrad_Otu_00067","false","interacts with","Ftrad_Otu_00089 (interacts with) Ftrad_Otu_00067"
"45647","-0.378010249429","Ftrad_Otu_00089 (interacts with) BacV5_Otu_000158","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00089 (interacts with) BacV5_Otu_000158","false","interacts with","Ftrad_Otu_00089 (interacts with) BacV5_Otu_000158"
"45648","0.368741902833","BacV5_Otu_000178 (interacts with) BacV5_Otu_000153","true","0.001",,,"false",,"0.5","interacts with","BacV5_Otu_000178 (interacts with) BacV5_Otu_000153","false","interacts with","BacV5_Otu_000178 (interacts with) BacV5_Otu_000153"
"45649","-0.389279263667","Ftrad_Otu_00014 (interacts with) BacV5_Otu_000145","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00014 (interacts with) BacV5_Otu_000145","false","interacts with","Ftrad_Otu_00014 (interacts with) BacV5_Otu_000145"
