"SUID","0.001_ 1_corsparcc.txt_Cor","0.001_ 1_corsparcc.txt_name","0.001_ 1_corsparcc.txt_present","0.001_ 1_corsparcc.txt_Pvalue","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"51950",,,"false",,"0.418834283177","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000096","true","0.001","0.5","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000096","false","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000096"
"51951",,,"false",,"0.390415497955","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000104","true","0.001","0.5","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000104","false","interacts with","Ftrad_Otu_00119 (interacts with) BacV5_Otu_000104"
"51952",,,"false",,"-0.355220674592","Ftrad_Otu_00380 (interacts with) BacV5_Otu_000073","true","0.001","0.5","interacts with","Ftrad_Otu_00380 (interacts with) BacV5_Otu_000073","false","interacts with","Ftrad_Otu_00380 (interacts with) BacV5_Otu_000073"
"51953",,,"false",,"0.459783354638","BacV5_Otu_000242 (interacts with) BacV5_Otu_000072","true","0.0","0.5","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000072","false","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000072"
"51954",,,"false",,"0.453533497231","BacV5_Otu_000242 (interacts with) BacV5_Otu_000092","true","0.001","0.5","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000092","false","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000092"
"51955",,,"false",,"0.389775905576","BacV5_Otu_000242 (interacts with) BacV5_Otu_000201","true","0.0","0.5","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000201","false","interacts with","BacV5_Otu_000242 (interacts with) BacV5_Otu_000201"
"51956",,,"false",,"0.416733747657","BacV5_Otu_000205 (interacts with) BacV5_Otu_000043","true","0.001","0.5","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000043","false","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000043"
"51957",,,"false",,"0.397494339394","BacV5_Otu_000205 (interacts with) BacV5_Otu_000089","true","0.0","0.5","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000089","false","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000089"
"51958",,,"false",,"0.389564742417","BacV5_Otu_000205 (interacts with) BacV5_Otu_000103","true","0.0","0.5","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000103","false","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000103"
"51959",,,"false",,"0.352469466318","BacV5_Otu_000205 (interacts with) BacV5_Otu_000203","true","0.0","0.5","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000203","false","interacts with","BacV5_Otu_000205 (interacts with) BacV5_Otu_000203"
"51960",,,"false",,"0.363905038355","BacV5_Otu_000202 (interacts with) BacV5_Otu_000042","true","0.0","0.5","interacts with","BacV5_Otu_000202 (interacts with) BacV5_Otu_000042","false","interacts with","BacV5_Otu_000202 (interacts with) BacV5_Otu_000042"
"51961",,,"false",,"-0.372112212245","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000025","true","0.001","0.5","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000025","false","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000025"
"51962",,,"false",,"-0.310680832652","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000084","true","0.001","0.5","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000084","false","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000084"
"51963",,,"false",,"-0.393512495836","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000092","true","0.0","0.5","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000092","false","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000092"
"51964",,,"false",,"-0.406913387609","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000136","true","0.0","0.5","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000136","false","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000136"
"51965",,,"false",,"0.312825813191","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000191","true","0.001","0.5","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000191","false","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000191"
"51966",,,"false",,"-0.380085545119","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000268","true","0.0","0.5","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000268","false","interacts with","Ftrad_Otu_00289 (interacts with) BacV5_Otu_000268"
"51967",,,"false",,"0.389675908212","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00040","true","0.0","0.5","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00040","false","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00040"
"51968",,,"false",,"0.34896905269","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00055","true","0.0","0.5","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00055","false","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00055"
"51969",,,"false",,"0.429133162962","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00061","true","0.0","0.5","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00061","false","interacts with","Ftrad_Otu_00289 (interacts with) Ftrad_Otu_00061"
